"ANTHROPOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"900
Fund Anthropological Theory","001","","6","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Smr:Probs-Cultural Anthro","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"942
Smr-Archaeological Problems","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"970
Smr-Anthropology&Education","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","027","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","32","",".",".",".",".",".",".",".","71.9",".",".",".","28.1",".",".",".","."
"999","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","Course Total","","9","4.000","66.7",".",".",".",".",".",".","22.2",".",".",".","11.1",".",".",".","."
"ANTHRO
156","Dept. Total","","1838","3.272","30.8","26.6","20.4","8.3","8.2","1.7","0.8","1.8","0.1","0.1",".","0.5","0.4","0.1","0.2","0.2"
