"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","123","3.240","44.7","12.2","22.8","6.5","8.9",".","4.9",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","46","3.641","69.6","13.0","10.9","2.2",".","2.2","2.2",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","52","3.304","26.9","25.0","34.6","3.8","7.7",".",".","1.9",".",".",".",".",".",".",".","."
"","321","001","25","3.300","28.0","28.0","28.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","321","002","27","3.327","25.9","25.9","37.0",".","7.4",".",".","3.7",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","52","3.314","26.9","26.9","32.7","3.8","7.7",".",".","1.9",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","55","3.182","32.7","7.3","36.4","10.9","12.7",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","59","3.780","61.0","33.9","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Design Laboratory","350","001","50","3.990","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","56","3.411","23.2","48.2","19.6","5.4","3.6",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","43","3.802","76.7","11.6","7.0","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Projects","476","001","28","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","15","3.233","40.0","26.7",".","6.7","26.7",".",".",".",".",".",".",".",".",".",".","."
"Human Perform&Accidnt Cause","555","001","66","3.720","53.0","39.4","6.1","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Patient Safety&Error Reduction","559","001","38","3.855","76.3","18.4","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Occupatnl Ergonics&Biomechancs","564","001","20","3.632","40.0","40.0","15.0",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"Intro-Quality Engineering","575","001","58","3.526","50.0","31.0","10.3","1.7","3.4","1.7","1.7",".",".",".",".",".",".",".",".","."
"Safety & Quality-Med Use Sys","608","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Production Systems Control","615","001","20","3.921","80.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"Health Information Systems","617","001","18","3.912","77.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"Simulation Modeling & Analysis","620","001","27","3.370","48.1","14.8","18.5","7.4","7.4","3.7",".",".",".",".",".",".",".",".",".","."
"","632","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","632","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Tools & Envirnmt-Optimizatn","635","001","15","3.433","20.0","53.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Design & Anal-Manufact Sys","641","001","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn & Hum Disablty & Aging","662","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","001","19","3.990","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","003","36","3.829","75.0","13.9","5.6","2.8",".",".",".","2.8",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","55","3.882","81.8","10.9","3.6","1.8",".",".",".","1.8",".",".",".",".",".",".",".","."
"","699","014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","037","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","2","***","","","","","","","","","",".",".",".",".",".",".","."
