"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","56","3.268","21.4","28.6","33.9","14.3","1.8",".",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","66","2.909","15.2","10.6","37.9","22.7","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","58","2.810","10.3","24.1","17.2","27.6","13.8","6.9",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","002","","72","3.069","25.0","27.8","12.5","16.7","13.9","2.8","1.4",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","002","","66","2.769","12.1","7.6","31.8","28.8","13.6","3.0","1.5",".","1.5",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","55","2.943","23.6","14.5","29.1","10.9","7.3","9.1","1.8",".","1.8",".",".",".",".",".","1.8","."
"Intro to Geographc Info Sys","357","001","","20","3.526","50.0","25.0","10.0","5.0",".","5.0",".","5.0",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","67","3.231","25.4","13.4","49.3","6.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","28","3.741","57.1","28.6","10.7",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","69","3.377","23.2","40.6","27.5","5.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"Hydrologic Design","414","001","","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Water Rsrce Sys-Optim&Simul","416","001","","18","3.694","61.1","27.8","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","","17","3.382","17.6","41.2","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","428","001","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract Appl of GPS Surveying","444","001","","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","55","2.877","18.2","5.5","47.3",".","18.2","7.3",".","1.8",".",".",".",".","1.8",".",".","."
"Project Estimatng&Schedulng","492","001","","56","3.804","69.6","21.4","8.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","64","3.672","56.3","29.7","7.8","4.7","1.6",".",".",".",".",".",".",".",".",".",".","."
"Hazardous Waste Management","522","001","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures II","545","001","","13","3.538","46.2","15.4","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Geometric Dsgn-Transprt Fac","573","001","","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","50","3.470","44.0","10.0","42.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","57","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Water Chemistry","609","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Hydraulics&Fluid Mech","618","001","","18","3.722","61.1","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Microbio-Pathogens & Organisms","623","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","629","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","629","002","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Envir Engr","","Course Total","","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Toxicants in the Environmnt","631","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Remediation Geotechnics","635","001","","6","3.250","33.3",".","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Specl Topic-Structural Engr","649","001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","669","001","","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","669","005","","23","3.804","69.6","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics:Constructn Engr&Mgmt","","Course Total","","36","3.685","55.6","36.1","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
