"","990
076","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
203","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
204","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research","Course Total","8","4.000","37.5",".",".",".","",".","",".","",".","50.0","",".",".","",".","",".",".",".","12.5","."
"PEDIAT
708","Dept. Total","172","3.625","65.1","10.5","14.5","2.9","",".","",".","",".","5.8","",".",".","",".","",".","0.6",".","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","5","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","12","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","22","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","39","3.978","97.4",".","2.6",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","47","3.929","70.2","6.4",".",".","",".","",".","",".","21.3","",".",".","",".","",".",".",".","2.1","."
"Prof Yr 2","","3","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","56","3.509","44.6","17.9","32.1","5.4","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","27","3.519","55.6","18.5","14.8","7.4","",".","",".","",".",".","",".",".","",".","",".","3.7",".",".","."
"Professionals","","86","3.502","47.7","17.4","27.9","5.8","",".","",".","",".",".","",".",".","",".","",".","1.2",".",".","."
"","Dept. Total","172","3.625","65.1","10.5","14.5","2.9","",".","",".","",".","5.8","",".",".","",".","",".","0.6",".","0.6","."
