"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","064","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","52","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"718
Water Res Mgt Pract Pl Smr II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"732
Unsaturated Soil Geoengr","001","","7","3.600","28.6","28.6","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"749","001","","14","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"749","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Structural Engr","Course Total","","17","3.611","52.9","11.8","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"772
Pract-Transportatn Mgmt&Policy","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","064","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","069","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","076","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","41","",".",".",".",".",".",".",".","58.5",".",".",".","41.5",".",".",".","."
"821
Envir Engr:Biologic Treatmt","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 116 of 430",""
