"","990
055","1","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","990
057","3","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","990
063","1","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Research and Thesis","Course Total","5","***","","","","","","","","","","","","","","","","","","","","","","",""
"ANATOMY
144","Dept. Total","266","3.949","31.6","0.4","0.4","",".","",".","",".","",".","66.2","1.1",".","",".","",".","",".",".",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","10","4.000","100.0",".",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","27","4.000","100.0",".",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","37","4.000","100.0",".",".","",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Special","","3","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","8","3.850","25.0","12.5",".","",".","",".","",".","",".","62.5",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","215","4.000","18.6",".",".","",".","",".","",".","",".","79.5","1.4",".","",".","",".","",".",".",".","0.5"
"Prof Yr 2","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","218","3.915","19.3",".","0.5","",".","",".","",".","",".","78.4","1.4",".","",".","",".","",".",".",".","0.5"
"","Dept. Total","266","3.949","31.6","0.4","0.4","",".","",".","",".","",".","66.2","1.1",".","",".","",".","",".",".",".","0.4"
