"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","36","3.438","44.4","27.8","13.9","11.1","2.8",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","95","3.328","52.6","16.8","11.6","11.6","5.3",".","2.1","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","145","3.553","52.4","28.3","12.4","2.8","2.8","0.7","0.7","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","279","3.459","50.9","24.4","12.2","7.5","3.6","0.4","1.1","",".","",".",".","",".","",".","",".",".",".","."
"Special","","12","2.792","25.0","33.3",".","8.3","16.7","8.3","8.3","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","101","3.917","89.1","8.9","2.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","392","3.543","59.9","20.7","9.2","5.6","3.1","0.5","1.0","",".","",".",".","",".","",".","",".",".",".","."
