"EGR","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","2921","3.143","25.1","21.7","23.0","12.0","8.6","1.8","0.9","4.0","0.1","0.0","",".","2.2","0.5","0.0","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","35","3.101","25.7","17.1","28.6","17.1","5.7","2.9","2.9",".",".",".","",".",".",".",".",".","."
"Sophomore","","162","3.052","22.8","24.1","22.8","16.7","6.8","3.1","3.1",".",".",".","",".",".",".","0.6",".","."
"Junior","","645","3.053","21.1","21.1","27.4","14.7","11.6","2.2","1.1",".",".",".","",".",".","0.8",".",".","."
"Senior","","1591","3.112","23.4","24.4","25.9","13.3","9.7","2.1","0.6","0.1",".",".","",".",".","0.5",".",".","."
"Undergraduates","","2433","3.094","22.8","23.4","26.1","14.0","9.9","2.2","0.9","0.0",".",".","",".",".","0.5","0.0",".","."
"Special","","51","3.096","25.5","21.6","23.5","11.8","7.8",".","3.9","2.0","3.9",".","",".",".",".",".",".","."
"Graduate","","437","3.669","37.5","12.6","5.5","1.1","0.9","0.2",".","26.3","0.2","0.2","",".","14.6","0.2",".","0.5","."
"","Dept. Total","2921","3.143","25.1","21.7","23.0","12.0","8.6","1.8","0.9","4.0","0.1","0.0","",".","2.2","0.5","0.0","0.1","."
