"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
002","130","3.324","39.2","20.0","15.4","8.5","12.3","0.8",".","0.8",".",".",".",".","0.8",".","2.3","."
"","004
101","72","3.014","16.7","23.6","31.9","15.3","8.3","1.4","2.8",".",".",".",".",".",".",".",".","."
"","101
005","36","3.125","11.1","33.3","44.4","2.8","2.8","5.6",".",".",".",".",".",".",".",".",".","."
"","006
101","77","3.125","22.1","23.4","29.9","11.7","7.8","3.9",".","1.3",".",".",".",".",".",".",".","."
"","007
101","28","3.518","42.9","28.6","17.9","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","40","3.577","35.0","42.5","20.0",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","383","3.241","28.7","25.6","24.8","9.1","7.6","1.8","0.5","0.8",".",".",".",".","0.3",".","0.8","."
"Spec Topics:Philos-Freshmen","104
001","18","3.529","33.3","33.3","27.8",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"The Meaning of Life","141
002","13","3.864","61.5","23.1",".",".",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"Reason in Communication","210
002","78","2.566","14.1","19.2","19.2","11.5","12.8","14.1","6.4","2.6",".",".",".",".",".",".",".","."
"","211
001","147","2.847","35.4","10.2","14.3","12.2","12.2","9.5","6.1",".",".",".",".",".",".",".",".","."
"","002
211","67","3.448","26.9","44.8","20.9","6.0","1.5",".",".",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","214","3.035","32.7","21.0","16.4","10.3","8.9","6.5","4.2",".",".",".",".",".",".",".",".","."
"","241
001","94","3.258","28.7","22.3","31.9","9.6","3.2","3.2",".","1.1",".",".",".",".",".",".",".","."
"","002
241","98","3.617","52.0","25.5","17.3","4.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","192","3.442","40.6","24.0","24.5","6.8","2.1","1.6",".","0.5",".",".",".",".",".",".",".","."
"Ethics in Business","243
001","50","3.470","52.0","14.0","20.0","8.0","4.0","2.0",".",".",".",".",".",".",".",".",".","."
"","341
001","181","3.559","40.3","34.8","18.2","3.9",".","0.6",".","1.1",".",".",".",".","0.6","0.6",".","."
"","002
341","71","3.127","7.0","38.0","35.2","15.5","2.8","1.4",".",".",".",".",".",".",".",".",".","."
"","003
341","150","3.101","10.0","32.7","32.7","19.3","2.7","2.0",".",".",".",".",".",".",".",".","0.7","."
"","341
093","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","421","3.337","25.7","34.0","25.4","11.2","1.4","1.2",".","0.5",".",".",".",".","0.2","0.2","0.2","."
"Hist of Ancient Philosophy","430
001","43","3.550","18.6","65.1","9.3",".",".",".",".",".",".",".",".",".","4.7","2.3",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods of Logic","512
001","14","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Health Ethics","515
001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philos of Social Sciences","521
001","21","3.075","42.9","23.8",".",".","19.0",".","9.5","4.8",".",".",".",".",".",".",".","."
"Modern Ethical Theories","541
001","25","3.860","72.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Great Moral Philosophers","549
001","18","3.125","22.2","27.8","22.2","5.6",".","11.1",".",".",".",".",".",".","11.1",".",".","."
"Philosophy of Mind","551
001","37","3.171","27.0","13.5","29.7","13.5","10.8",".",".","5.4",".",".",".",".",".",".",".","."
"Political Philosophy","555
001","22","3.114","22.7","22.7","31.8","9.1","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Ethical Issues in Health Care","558
001","18","3.528","44.4","27.8","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Metaphysics","562
001","19","3.105","26.3","21.1","26.3","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"Ethics of Modern Biotechnology","565
001","10","3.500","40.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"Senior Honors Seminar","581
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","682
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
