"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","126","2.452","12.7","4.0","28.6","7.1","31.7","9.5","4.8","1.6",".",".",".",".",".",".",".","."
"","002
101","157","2.420","10.2","7.6","29.9","11.5","20.4","15.3","5.1",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","283","2.434","11.3","6.0","29.3","9.5","25.4","12.7","4.9","0.7",".",".",".",".",".",".",".","."
"","102
001","11","3.318","27.3","18.2","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","14","3.214","7.1","50.0","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","003
102","12","3.292","16.7","33.3","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","12","3.292","41.7","25.0","8.3",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","005
102","14","3.250","21.4","35.7","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
006","9","3.111","11.1","22.2","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","007
102","14","3.179","7.1","35.7","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
102","12","2.833",".","16.7","58.3",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","010
102","14","3.250","42.9","7.1","42.9",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","011
102","13","3.346","30.8","38.5","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","012
102","13","3.500","23.1","46.2","23.1",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"","102
013","9","3.056",".","33.3","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
014","10","3.500","40.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","015
102","19","3.237","21.1","36.8","26.3",".","15.8",".",".",".",".",".",".",".",".",".",".","."
"","102
017","10","3.000",".","40.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
018","19","3.000","15.8","31.6","31.6","10.5",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","213","3.219","19.7","32.4","31.9","7.5","6.6","0.5","0.9",".",".",".",".",".",".","0.5",".","."
"Introductory Biology","151
001","82","2.909","19.5","7.3","47.6","8.5","9.8","3.7","3.7",".",".",".",".",".",".",".",".","."
"","152
001","37","2.889","10.8","16.2","40.5","5.4","21.6","2.7",".",".",".",".",".",".","2.7",".",".","."
"","152
002","40","2.859","12.5","12.5","37.5","10.0","22.5","2.5",".",".",".",".",".",".","2.5",".",".","."
"","152
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","152
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","105","3.054","21.9","15.2","34.3","6.7","17.1","1.9",".",".",".",".",".",".","2.9",".",".","."
"Introductory Biology","153
001","43","2.558","11.6","4.7","34.9","4.7","32.6","11.6",".",".",".",".",".",".",".",".",".","."
"Directed Study","199
043","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Ecology","260
001","34","3.328","35.3","11.8","32.4","8.8","5.9",".",".",".",".",".",".",".",".",".","5.9","."
"","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
031","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
049","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
