"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","31","3.672","67.7","9.7","9.7",".","3.2","3.2",".","6.5",".",".",".",".",".",".",".","."
"","002
1","30","3.817","90.0","3.3","3.3",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"","003
1","43","3.919","90.7","4.7","2.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","1
004","11","3.773","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","1
005","26","3.827","92.3",".",".","3.8",".","3.8",".",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","141","3.817","85.1","5.0","3.5","1.4","1.4","1.4","0.7","1.4",".",".",".",".",".",".",".","."
"","112
001","20","3.575","50.0","30.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","112
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory II","Course Total","28","3.638","57.1","28.6","7.1","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","118
001","33","3.682","69.7","12.1","6.1","9.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"","118
002","38","3.703","71.1","13.2","7.9","2.6",".",".","2.6","2.6",".",".",".",".",".",".",".","."
"","003
118","37","3.971","89.2",".","2.7",".",".",".",".","8.1",".",".",".",".",".",".",".","."
"African Dance","Course Total","108","3.784","76.9","8.3","5.6","3.7","0.9",".","0.9","3.7",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","14","3.214","14.3","42.9","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126
001","19","3.773","57.9","21.1","5.3","5.3",".",".",".","10.5",".",".",".",".",".",".",".","."
"Somatic Theory and Practices","131
001","26","3.848","65.4","19.2","3.8",".",".",".",".","7.7",".",".",".",".","3.8",".",".","."
"","135
001","38","3.708","65.8","13.2","10.5",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","135
002","31","3.717","71.0","12.9","6.5","3.2",".","3.2",".","3.2",".",".",".",".",".",".",".","."
"","003
135","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
004","39","3.776","76.9","10.3","5.1","2.6",".","2.6",".","2.6",".",".",".",".",".",".",".","."
"Pilates Mat I","Course Total","127","3.772","74.8","11.0","6.3","1.6","1.6","1.6",".","3.1",".",".",".",".",".",".",".","."
"","136
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
136","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Equipment Lab I","Course Total","22","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","140
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","156
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","157
001","23","3.929","78.3","13.0",".",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"Collaborative Arts Workshop","159
001","13","3.346","61.5","15.4",".","7.7",".","15.4",".",".",".",".",".",".",".",".",".","."
"","2
001","49","3.629","42.9","12.2","10.2","4.1","2.0",".",".","28.6",".",".",".",".",".",".",".","."
"","2
002","47","3.756","74.5","4.3","12.8",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","2
003","36","3.593","44.4","11.1","11.1","5.6","2.8",".",".","22.2","2.8",".",".",".",".",".",".","."
"Ballroom Dance I","Course Total","132","3.673","54.5","9.1","11.4","3.0","3.0",".",".","18.2","0.8",".",".",".",".",".",".","."
"Dance","205
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ballet I","21
001","30","3.714","63.3","13.3","10.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","212
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
212","14","3.957","85.7","7.1",".",".",".",".",".",".","7.1",".",".",".",".",".",".","."
"Contemp Dance Tech & Th IV","Course Total","19","3.929","78.9","10.5",".",".",".",".",".",".","5.3",".",".",".","5.3",".",".","."
"Ballet Technique II-B","226
001","16","3.760","50.0","43.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Intro:Dynamcs-Dance Therapy","232
001","15","3.733","86.7",".",".",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Pilates Equipment II","236
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","240
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Collaborative Arts Perform Lab","259
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballroom Dance II","3
001","38","3.789","84.2","7.9","2.6","2.6",".",".","2.6",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","Page 100 of 430",""
