"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","","272","2.707","16.2","9.9","25.7","10.7","29.0","7.4","0.4","0.7",".",".",".",".",".",".",".","."
"Aquatics","104
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116
001","","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
116","","23","3.826","73.9","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid & Basic Life Support","Course Total","","46","3.870","80.4","13.0","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119
001","","95","3.952","92.6","3.2","3.2",".",".",".",".",".",".",".",".",".","1.1",".",".","."
"","123
001","","19","3.921","94.7",".",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
123","","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Living well: LIfestyle balance","Course Total","","41","3.902","85.4","12.2",".","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","125
001","","23","4.000","4.3",".",".",".",".",".",".","87.0",".",".",".",".",".",".","8.7","."
"","125
002","","15","",".",".",".",".",".",".",".","86.7",".",".",".",".",".",".","13.3","."
"","125
003","","25","4.000","4.0",".",".",".",".",".",".","76.0",".",".",".",".",".",".","20.0","."
"","125
004","","17","4.000","5.9",".",".",".",".",".",".","88.2",".",".",".",".",".",".","5.9","."
"Adapted Fitness&Pers Traing","Course Total","","80","4.000","3.8",".",".",".",".",".",".","83.8",".",".",".",".",".",".","12.5","."
"Intro to Athletic Training","127
001","","36","3.597","63.9","13.9","8.3","5.6","8.3",".",".",".",".",".",".",".",".",".",".","."
"","129
001","","17","3.594","47.1","17.6","29.4",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","129
002","","25","3.413","32.0","12.0","48.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","","42","3.487","38.1","14.3","40.5",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Movement Techs for Stress Mgmt","134
001","","21","3.575","47.6","23.8","19.0",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Sci&Pract Resistance Training","140
001","","24","3.159","25.0","20.8","16.7","16.7","12.5",".",".","4.2",".",".",".",".","4.2",".",".","."
"Choosing To Move","145
001","","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","147
001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","147
002","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tai Chi","Course Total","","53","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
197","","24","3.813","70.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","197
002","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technique-Athletic Training","Course Total","","41","3.866","78.0","17.1","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Anat Hum Mov","227
001","","52","3.663","55.8","28.8","13.5",".",".","1.9",".",".",".",".",".",".",".",".",".","."
"Teaching Invasion Games","240
001","","7","3.643","71.4",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","","51","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","Course Total","","81","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314
001","","80","3.369","28.8","35.0","30.0","1.3","1.3","3.8",".",".",".",".",".",".",".",".",".","."
"Assessmnt & Rsch-Phys Activity","315
001","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316
001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318
001","","59","3.432","28.8","40.7","20.3","8.5","1.7",".",".",".",".",".",".",".",".",".",".","."
"Group Develop & Behav Manage","001
325","","27","3.926","88.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Curr Topic-Outdoor Pursuits","327
001","","9","3.667","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","330
001","","55","3.564","40.0","36.4","20.0","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350
001","","63","3.444","38.1","25.4","25.4","9.5","1.6",".",".",".",".",".",".",".",".",".",".","."
