"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","2370","3.239","32.6","23.9","18.2","8.9","7.1","2.1","1.3","4.5","",".",".","",".","0.6","0.7","0.0","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","108","2.738","8.3","22.2","22.2","21.3","20.4","3.7","1.9",".","",".",".","",".",".",".",".",".","."
"Sophomore","","602","3.247","27.2","30.1","23.1","11.1","6.3","1.5","0.7",".","",".",".","",".",".",".",".",".","."
"Junior","","618","3.272","31.9","28.3","19.6","9.7","6.6","1.6","1.3","0.5","",".",".","",".",".","0.5",".",".","."
"Senior","","705","3.204","36.5","22.0","18.4","7.7","8.8","3.4","2.0","0.4","",".",".","",".",".","0.7",".","0.1","."
"Undergraduates","","2033","3.212","30.8","26.3","20.4","10.0","8.0","2.3","1.4","0.3","",".",".","",".",".","0.4",".","0.0","."
"Special","","48","3.075","33.3","12.5","16.7","12.5","10.4","6.3",".","4.2","",".",".","",".",".",".","2.1","2.1","."
"Graduate","","286","3.758","44.1","8.7","3.1","0.7",".",".","0.7","34.6","",".",".","",".","4.9","3.1",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","2370","3.239","32.6","23.9","18.2","8.9","7.1","2.1","1.3","4.5","",".",".","",".","0.6","0.7","0.0","0.1","."
