"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","212","2.936","15.1","15.1","37.7","14.6","12.7","3.8","0.5",".",".",".",".",".",".","0.5",".","."
"132","002","","301","2.900","14.0","15.9","33.9","15.9","16.9","3.0","0.3",".",".",".",".",".",".",".",".","."
"132","003","","163","2.922","16.0","19.0","25.8","17.2","16.0","4.3",".","1.8",".",".",".",".",".",".",".","."
"Nutrition Today","Course Total","","676","2.917","14.8","16.4","33.1","15.8","15.4","3.6","0.3","0.4",".",".",".",".",".","0.1",".","."
"200
Prof-Dietetics & Nutrition","001","","34","",".",".",".",".",".",".",".",".",".","97.1","2.9",".",".",".",".","."
"203
Introduction to Global Health","001","","60","3.858","83.3","6.7","8.3","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","069","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","3.969","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","9","3.500","55.6","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","89","2.927","25.8","14.6","23.6","9.0","19.1","6.7","1.1",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","131","3.492","45.0","26.7","14.5","6.9","6.1",".",".","0.8",".",".",".",".",".",".",".","."
"421
Global Health Field Experience","001","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"431
Nutrition in the Life Span","001","","92","3.092","20.7","18.5","32.6","17.4","9.8","1.1",".",".",".",".",".",".",".",".",".","."
"500
Undergrad Capstone Seminar Lab","001","","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","51","3.176","37.3","3.9","31.4","11.8","15.7",".",".",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","35","3.686","54.3","28.6","17.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"619
Adv Nutr: Metab-Macronutrients","001","","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"625
Adv Nutritn: Obesity&Diabetes","001","","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"627
Adv Nutrition: Vitamins","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"653
Clinical Nutrition Research","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"672
Herbl, Homeopthy&Diet Supplmnt","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","14","3.963","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875
Special Topics","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"881
Smr-Human&Clinicl Nutrition","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","","Page 38 of 430"
