"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Retail Leadership Symposium","250
001","96","3.870","87.5","4.2","4.2","3.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"","275
001","81","3.049","16.0","33.3","19.8","16.0","9.9","4.9",".",".",".",".",".",".",".",".",".","."
"","275
002","89","3.679","55.1","23.6","12.4","1.1","2.2",".",".","4.5",".",".",".",".","1.1",".",".","."
"Consumer Finance","Course Total","170","3.370","36.5","28.2","15.9","8.2","5.9","2.4",".","2.4",".",".",".",".","0.6",".",".","."
"Independent Study","299
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Retailing Theory & Practice","357
001","51","3.804","66.7","29.4","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Socially Just Consumption","360
001","118","3.312","23.7","38.1","22.0","8.5","5.9","0.8",".",".",".",".",".",".","0.8",".",".","."
"The Consumer and the Market","477
001","57","3.421","29.8","43.9","14.0","5.3","7.0",".",".",".",".",".",".",".",".",".",".","."
"","501
001","44","3.114","4.5","50.0","20.5","18.2","4.5","2.3",".",".",".",".",".",".",".",".",".","."
"","501
002","10","2.500","20.0",".","10.0","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".","."
"","501
003","27","3.852","81.5","11.1","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","501
004","18","3.889","88.9","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","005
501","26","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
501","6","2.917",".","16.7","66.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","501
008","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","142","3.267","51.4","21.1","12.7","9.9","2.8","2.1",".",".",".",".",".",".",".",".",".","."
"Retail Promotion","560
001","43","3.488","44.2","25.6","20.9","2.3","7.0",".",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564
001","43","3.226","16.3","46.5","16.3","7.0","9.3","2.3",".","2.3",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
001","7","3.556","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Retailing Internship","603
001","11","3.550","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Estate Plng for Fincl Planners","635
001","50","3.260","24.0","28.0","26.0","20.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657
001","69","3.703","65.2","23.2","7.2","1.4",".","2.9",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","675
001","44","3.395","29.5","40.9","15.9","9.1",".",".","2.3",".",".",".",".",".","2.3",".",".","."
"Grad Spec Topics-Consumer Sci","901
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
