"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202","001","","17","3.412","41.2","23.5","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran II","204","001","","30","3.483","36.7","40.0","13.3","3.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Polish Lit Tran:14-Mid 19 C","215","001","","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Gogol in Translation","221","001","","13","3.625","30.8","53.8","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Dostoevsky in Translation","222","001","","30","3.190","6.7","33.3","50.0","3.3","3.3",".",".",".",".",".",".",".","3.3",".",".","."
"Manga","231","001","","33","3.197","27.3","45.5","12.1","6.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","234","001","","27","3.415","44.4","18.5","22.2","7.4","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","247","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253","001","","33","3.076","15.2","18.2","48.5","9.1","6.1","3.0",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Lit in Trans","262","001","","28","3.696","71.4","7.1","14.3","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Lit in Tran","264","001","","7","3.417","28.6","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".","14.3",".","."
"","274","001","","43","3.535","30.2","51.2","14.0","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"","274","002","","19","3.824","57.9","31.6",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Scand Lit in Tran-20th C","","Course Total","","62","3.635","38.7","45.2","9.7","3.2",".",".",".",".",".",".",".",".","3.2",".",".","."
"","275","001","","79","3.443","48.1","26.6","10.1","6.3","3.8","5.1",".",".",".",".",".",".",".",".",".","."
"","275","002","","41","3.549","41.5","36.6","12.2","9.8",".",".",".",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","","120","3.486","45.8","30.0","10.8","7.5","2.5","3.3",".",".",".",".",".",".",".",".",".","."
"Spec Tops in Ger & World Lit/s","276","001","","17","3.294","35.3","35.3","11.8","11.8",".",".","5.9",".",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, America","279","001","","7","3.286","28.6","57.1",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Modern Jewish Literature","318","001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326","001","","25","3.875","72.0","24.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Prophets of the Bible","332","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342","001","","8","3.125","25.0","50.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"In Transl:Scand Tale&Ballad","345","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fr&Ital Renaissance Lit Online","360","001","","84","3.145","29.8","26.2","23.8","7.1","4.8","1.2","6.0","1.2",".",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","001","","19","3.026","52.6","5.3","15.8",".","10.5","5.3","10.5",".",".",".",".",".",".",".",".","."
"Topics in Korean Literature","374","001","","26","3.712","73.1","19.2","3.8",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","410","001","","43","3.463","37.2","34.9","14.0","2.3","4.7","2.3",".","4.7",".",".",".",".",".",".",".","."
