"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"C&E SOC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","36","3.148","27.8","33.3","11.1","13.9","8.3",".","5.6",".","",".",".","",".","",".",".",".",".","."
"Junior","","53","3.500","41.5","34.0","15.1","5.7","1.9","1.9",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","114","3.405","42.1","27.2","14.0","7.0","4.4","0.9","1.8","0.9","",".",".","",".","",".","1.8",".",".","."
"Undergraduates","","207","3.383","39.1","30.4","14.0","7.7","4.3","1.0","1.9","0.5","",".",".","",".","",".","1.0",".",".","."
"Special","","3","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","14","4.000","35.7",".",".",".",".",".",".","64.3","",".",".","",".","",".",".",".",".","."
"","Dept. Total","224","3.397","38.4","29.0","12.9","7.1","4.0","0.9","1.8","4.9","",".",".","",".","",".","0.9",".",".","."
