"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"650
Women&Leadershp-Med, Sci, Engr","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","163","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","169","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","179","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","180","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","183","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","184","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","190","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","204","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","205","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","214","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","215","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","216","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","217","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","218","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","225","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","229","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"699","230","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","231","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","235","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","236","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","238","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","241","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","242","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","243","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","246","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","250","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","251","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","253","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","254","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","255","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","256","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","257","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","102","3.984","95.1","2.0","1.0",".",".",".",".",".",".",".",".",".",".",".","2.0","."
"701
Cell Signals and Human Disease","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
