"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","46","3.011","19.6","15.2","37.0","4.3","19.6","2.2",".",".",".",".",".",".",".",".",".","2.2"
"","002
100","47","2.830","23.4","4.3","38.3","12.8","8.5","10.6","2.1",".",".",".",".",".",".",".",".","."
"","003
100","38","3.000","31.6","7.9","26.3","7.9","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"","004
100","42","2.940","19.0","14.3","35.7","11.9","11.9","7.1",".",".",".",".",".",".",".",".",".","."
"","005
100","42","2.905","19.0","11.9","28.6","16.7","21.4","2.4",".",".",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","215","2.935","22.3","10.7","33.5","10.7","16.3","5.6","0.5",".",".",".",".",".",".",".",".","0.5"
"","211
001","39","2.936","20.5","10.3","33.3","12.8","20.5","2.6",".",".",".",".",".",".",".",".",".","."
"","002
211","18","2.944","22.2","16.7","16.7","16.7","27.8",".",".",".",".",".",".",".",".",".",".","."
"","003
211","36","2.944","22.2","8.3","30.6","19.4","16.7","2.8",".",".",".",".",".",".",".",".",".","."
"","004
211","38","2.961","23.7","13.2","23.7","15.8","21.1","2.6",".",".",".",".",".",".",".",".",".","."
"","211
005","35","3.100","20.0","20.0","22.9","34.3","2.9",".",".",".",".",".",".",".",".",".",".","."
"","006
211","32","3.016","12.5","25.0","31.3","15.6","15.6",".",".",".",".",".",".",".",".",".",".","."
"","007
211","37","3.243","27.0","13.5","43.2","13.5","2.7",".",".",".",".",".",".",".",".",".",".","."
"","008
211","38","3.053","15.8","13.2","42.1","23.7","5.3",".",".",".",".",".",".",".",".",".",".","."
"","211
009","36","3.042","19.4","13.9","30.6","27.8","8.3",".",".",".",".",".",".",".",".",".",".","."
"","012
211","39","2.872","7.7","23.1","25.6","28.2","12.8","2.6",".",".",".",".",".",".",".",".",".","."
"","013
211","38","3.039","21.1","23.7","21.1","15.8","15.8","2.6",".",".",".",".",".",".",".",".",".","."
"","211
014","39","2.885","12.8","20.5","23.1","23.1","17.9","2.6",".",".",".",".",".",".",".",".",".","."
"","015
211","36","2.875","22.2","16.7","19.4","19.4","13.9","5.6","2.8",".",".",".",".",".",".",".",".","."
"","016
211","36","3.000","19.4","16.7","30.6","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","017
211","35","2.886","8.6","31.4","25.7","8.6","20.0","5.7",".",".",".",".",".",".",".",".",".","."
"","211
018","21","3.214","23.8","23.8","28.6","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"","211
019","8","3.250","25.0","25.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","020
211","30","2.783","3.3","23.3","26.7","20.0","26.7",".",".",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","591","2.988","17.8","18.3","28.4","19.0","14.7","1.7","0.2",".",".",".",".",".",".",".",".","."
"","300
001","157","3.315","30.6","26.1","26.8","7.6","5.7","0.6","0.6","1.9",".",".",".",".",".",".",".","."
"","002
300","41","3.263","26.8","22.0","31.7","9.8","7.3",".",".","2.4",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","198","3.304","29.8","25.3","27.8","8.1","6.1","0.5","0.5","2.0",".",".",".",".",".",".",".","."
"","301
001","45","3.367","31.1","26.7","28.9","11.1","2.2",".",".",".",".",".",".",".",".",".",".","."
"","301
002","44","3.193","20.5","31.8","25.0","11.4","11.4",".",".",".",".",".",".",".",".",".",".","."
"","003
301","47","3.283","21.3","34.0","27.7","12.8",".","2.1",".",".",".",".",".",".",".","2.1",".","."
"","301
004","45","3.233","22.2","28.9","24.4","22.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"","301
005","40","3.238","27.5","27.5","20.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","221","3.264","24.4","29.9","25.3","14.5","5.0","0.5",".",".",".",".",".",".",".","0.5",".","."
"","302
001","7","3.143","14.3","42.9","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","002
302","15","3.400","33.3","26.7","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
302","26","3.404","38.5","7.7","50.0","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","302
004","17","3.147","23.5","5.9","52.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","65","3.308","30.8","15.4","41.5","9.2","3.1",".",".",".",".",".",".",".",".",".",".","."
"","310
001","33","3.394","36.4","42.4","6.1","6.1","6.1",".","3.0",".",".",".",".",".",".",".",".","."
"","002
310","26","3.250","34.6","23.1","19.2","11.5","7.7","3.8",".",".",".",".",".",".",".",".",".","."
"","310
003","14","2.857",".","42.9","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","73","3.240","28.8","35.6","15.1","9.6","5.5","4.1","1.4",".",".",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","001
329","45","3.330","26.7","40.0","15.6","6.7","6.7","2.2",".",".",".",".",".",".","2.2",".",".","."
"","406
001","19","3.474","36.8","26.3","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 53 of 430"
