"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","254","3.393","36.6","34.6","13.4","6.3","5.5","2.0","0.8","0.8",".",".",".",".",".",".",".","."
"363
Develp: Adolescence-Old Age","001","","247","3.597","45.7","35.6","12.6","4.5","1.6",".",".",".",".",".",".",".",".",".",".","."
"425
Rsch Meth in Hum Devel&Fam St","001","","43","3.640","48.8","30.2","20.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","42","3.939","88.1","7.1","2.4",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"474
Racial Ethnic Families in U.S.","001","","40","3.663","50.0","40.0","2.5","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"501","001","","32","3.375","37.5","21.9","28.1","9.4",".","3.1",".",".",".",".",".",".",".",".",".","."
"501","002","","19","3.579","52.6","31.6","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"501","008","","59","3.771","67.8","20.3","10.2","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","110","3.540","56.4","22.7","15.5","3.6",".","1.8",".",".",".",".",".",".",".",".",".","."
"516
Family Stress and Coping","001","","46","3.761","69.6","15.2","13.0","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"517
Couple Relationships","001","","35","3.814","71.4","20.0","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","47","3.128","21.3","29.8","29.8","8.5","4.3","4.3","2.1",".",".",".",".",".",".",".",".","."
"592","011","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"592","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"592","039","","11","3.935","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"592","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Experience in HDFS","Course Total","","28","3.979","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","002","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Parent Educ & Support Programs","001","","45","3.933","93.3","2.2","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"663
Developmental & Fam Assessment","001","","31","3.952","93.5","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
Independent Study","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"725
Theory & Issues-Human Dev","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"766","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"766","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","","30","3.939","86.7","3.3","3.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"881
Capstone Smr in Prevention Sci","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999
Independent Study","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
