"FINANCE, INVESTMENT & BANKI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","",""
"Entrepreneurial Finance","757","001","","23","3.591","34.8","43.5","17.4",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","765","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","031","","43","3.953","93.0","4.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","","Course Total","","65","3.969","95.4","3.1","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","799","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","836","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance II","851","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Investments (Ph.D.)","970","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics Seminar-Finance PhD","972","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"FINANCE
233","","Dept. Total","","1588","3.424","41.9","24.1","17.9","11.0","3.8","0.6","0.1","0.4",".",".",".","0.1","0.1",".","0.2","."
