"AFRICAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Intro-Swahili Culture","130
001","","27","3.769","74.1","11.1","3.7","3.7","3.7",".",".",".",".",".",".",".",".","3.7",".","."
"Intro-African Lang and Lit","201
001","","98","3.464","59.2","16.3","8.2","9.2","2.0","1.0","4.1",".",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","","101","3.342","45.5","17.8","15.8","8.9","9.9",".","2.0",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","","31","3.161","9.7","38.7","32.3","3.2","3.2",".","3.2","6.5",".",".",".",".","3.2",".",".","."
"Africn&Africn-Amer Linkages","297
001","","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","10","3.802","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
322","","18","3.389","44.4","27.8","16.7","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","322
003","","7","3.441","42.9",".","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Arabic","Course Total","","40","3.480","47.5","22.5","20.0","7.5",".",".","2.5",".",".",".",".",".",".",".",".","."
"","324
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
324","","13","3.346","53.8","7.7","7.7","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Arabic","Course Total","","18","3.471","55.6","11.1","5.6","11.1","11.1",".",".",".",".",".",".",".","5.6",".",".","."
"","325
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquial Arabic","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquial Arabic","326
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
001","","8","3.872","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
332","","6","3.375","33.3","33.3",".",".","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"Second Semester Swahili","Course Total","","14","3.683","57.1","28.6",".",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Fourth Semester Swahili","334
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem-Lang-South Africa","336
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem-Lang-S Africa: Zulu","338
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Hausa","362
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","372
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","372
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yoruba","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Fourth Semester Yoruba","374
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory-African Literature","402
001","","12","3.897","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Contemp African Fiction","412
001","","10","3.567","50.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"Adv Studies-Swahili Lang-Rd","436
001","","8","3.500","37.5","37.5",".",".","12.5",".",".",".",".",".",".",".","12.5",".",".","."
"Readings-Adv Arabic Texts","446
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang and Society in Africa","500
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","669
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","669
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","5","***","","","","","","","","","","","","","","","",""
"LCTL Directed Study","697
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics-African Linguis","701
001","","9","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Mod Afr Lit","901
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
