"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"227
Propagation of Hort Plants","001","","18","2.694","5.6","22.2","27.8","16.7","22.2",".","5.6",".",".",".",".",".",".",".",".","."
"299","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"326
Plant Nutrition Management","001","","9","3.056","33.3","11.1","22.2",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"334
Greenhouse Cultivation","001","","27","3.333","40.7","18.5","29.6","3.7","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"335
Greenhouse Cultivation Lab","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"354
Diag Nutrient/Pest of Crops","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"372
Colloquium-Organic Agriculture","001","","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","8","3.821","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","005","","7","3.167","14.3",".","71.4",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Special Topics","Course Total","","15","3.625","46.7","6.7","40.0",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"399
Coord Intrnshp/Cooprtv Educ","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","11","3.045","36.4","9.1","27.3",".","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"501
Principles-Plant Breeding","001","","12","3.083","16.7","25.0","33.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"502
Techniques-Plant Breeding","001","","8","3.375","50.0",".","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"561
Introductory Cytogenetics","001","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","7","3.286","14.3","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"875","001","","14","3.800","42.9","28.6",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"875","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","16","3.852","50.0","25.0",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"910
Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
