"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"126
001
Principles-Envrnmtl Science","15","3.167","40.0","20.0","20.0",".","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"157
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"157
002","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
003","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
004","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
005","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"157
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"157
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Bradley Roundtable Seminar","72","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"199
001
Directed Study","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
001
Critical Thinkng & Expressn","69","3.662","55.1","27.5","10.1","4.3","1.4",".",".",".",".",".",".",".","1.4",".",".","."
"202
001
W Culture:Sci,Tech,Phil II","54","2.935","14.8","25.9","33.3","13.0","3.7","3.7","5.6",".",".",".",".",".",".",".",".","."
"204
001
West Cult: Lit&The Arts II","67","3.791","73.1","20.9","4.5",".",".",".","1.5",".",".",".",".",".",".",".",".","."
"206
001
W Cul:Pol,Econ&Soc Thght II","36","3.309","22.2","36.1","19.4","11.1","5.6",".",".",".",".",".",".",".",".","5.6",".","."
"275
001","23","3.870","87.0","8.7",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"002
275","14","4.000","78.6",".",".",".",".",".",".","7.1",".",".",".",".","14.3",".",".","."
"Course Total
Special Topics in ILS","37","3.912","83.8","5.4",".",".","2.7",".",".","2.7",".",".",".",".","5.4",".",".","."
"357
001
Peer Mentor Seminar","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"400
001
Capstone Integration Seminar","12","3.542","83.3",".",".","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"490
001
Rsch-Integrated LiberalStudies","2","***","","","","","","","","","",".",".",".",".",".",".","."
"ILS
Dept. Total
500","388","3.529","45.1","17.0","9.8","3.9","2.1","0.5","1.5","0.3",".","18.6",".",".","0.8","0.5",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"Freshmen","50","3.556","24.0","18.0","8.0","2.0","2.0",".",".",".",".","40.0",".",".","6.0",".",".","."
"Sophomore","159","3.602","41.5","16.4","8.8","3.8","1.3",".","0.6",".",".","27.7",".",".",".",".",".","."
"Junior","94","3.504","52.1","20.2","12.8","2.1","2.1","1.1","2.1",".",".","7.4",".",".",".",".",".","."
"Senior","82","3.441","58.5","14.6","9.8","7.3","3.7","1.2","3.7",".",".","1.2",".",".",".",".",".","."
"Undergraduates","385","3.529","45.5","17.1","9.9","3.9","2.1","0.5","1.6",".",".","18.7",".",".","0.8",".",".","."
"Special","3","***","","","","","","","","","",".",".",".",".","66.7",".","."
"Dept. Total","388","3.529","45.1","17.0","9.8","3.9","2.1","0.5","1.5","0.3",".","18.6",".",".","0.8","0.5",".","."
