"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"260
Materials Experience","001","","22","3.659","68.2","18.2",".","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"299","008","","15","3.915","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","17","3.926","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"330
Thermodynamics of Materials","001","","43","3.128","23.3","16.3","32.6","18.6","9.3",".",".",".",".",".",".",".",".",".",".","."
"332
Macroprocessing-Materials","001","","42","3.560","42.9","28.6","26.2","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"350","001","","82","3.652","45.1","40.2","14.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"350","002","","80","3.713","56.3","31.3","11.3","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Materials Science","Course Total","","162","3.682","50.6","35.8","13.0","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"351
Struct&Property Rels-Solids","001","","53","3.094","17.0","15.1","47.2","15.1","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"360","001","","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1"
"360","002","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","003","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","48","3.936","87.5","8.3","2.1",".",".",".",".",".",".",".",".",".",".",".",".","2.1"
"362","001","","19","3.737","57.9","36.8",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"362","002","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory III","Course Total","","34","3.824","70.6","26.5",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"433
Principles of Corrosion","001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"448
Crystallog & Xray Diffractn","001","","29","3.828","72.4","20.7","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"451
Intro to Ceramic Materials","001","","43","3.186","11.6","41.9","23.3","18.6","4.7",".",".",".",".",".",".",".",".",".",".","."
"456
Elec,Opt&Mag Prop of Materials","001","","52","3.442","30.8","32.7","32.7","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"461
Advanced Metal Casting","001","","17","3.156","11.8","29.4","29.4","23.5",".",".",".",".",".",".",".",".","5.9",".",".","."
"470
Capstone Project I","001","","44","3.864","84.1","9.1","4.5",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"521
Advanced Polymeric Materials","001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.952","80.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"748
Structural Analysis-Materials","001","","22","3.432","22.7","50.0","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"756
Advanced Electronic Materials","001","","21","3.600","38.1","38.1","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"758
Trans Electron Microscopy Lab","001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 146 of 420",""
