"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"231
Third Semester Vietnamese","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"233
Third Semester Hindi","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"235
Third Semester Modern Tibetan","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"237
Third Semester Persian","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"239
Third Semester Urdu","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"301","001","","21","3.333","23.8","38.1","19.0","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"301","002","","23","3.152","17.4","43.5","17.4","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"Fifth Semester Chinese","Course Total","","44","3.239","20.5","40.9","18.2","15.9","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"303","001","","19","3.632","42.1","42.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"303","002","","17","3.618","64.7","29.4",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"303","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"5th Semester Japanese","Course Total","","39","3.632","51.3","35.9","7.7",".",".",".","2.6",".",".",".",".",".","2.6",".",".","."
"305
Fifth Semester Korean","001","","13","3.692","69.2","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"311
1st Semester Classical Chinese","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"315
1st Semester Classical Chinese","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"325
Fifth Semester Hmong","001","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"329
Fifth Semester Thai","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"331","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"331","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Vietnamese","Course Total","","4","***","","","","","","","","","","","","","","","",""
"333
Fifth Semester Hindi","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"339
Fifth Semester Urdu","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"348
Fifth Semester Indonesian","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"355","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"355","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"355","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"355","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"355","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Asian Language","Course Total","","20","3.947","90.0",".","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"357","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"357","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Asian Language","Course Total","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"376
Japanese Conversation","001","","17","3.938","82.4","11.8",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"378
Chinese Conversation","001","","21","3.875","71.4","23.8",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 181 of 420",""
