"","CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","44","3.273","25.0","22.7","34.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","92","3.071","13.0","17.4","47.8","14.1","7.6",".",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","60","2.907","13.3","15.0","30.0","23.3","15.0","1.7",".",".",".",".",".",".","1.7",".",".","."
"Environmental Engineering","320","001","","81","3.219","17.3","18.5","55.6","4.9","2.5",".",".",".",".",".",".",".","1.2",".",".","."
"Environmentl Engr Processes","322","001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","59","2.907","11.9","22.0","25.4","27.1","8.5","5.1",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","52","3.750","71.2","13.5","9.6","5.8",".",".",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","51","3.422","29.4","31.4","35.3","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","6","3.400","16.7","33.3","33.3",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Intro to Geog Info Systems","377","001","","8","3.250","25.0",".","75.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","54","3.056","18.5","25.9","25.9","14.8","11.1","3.7",".",".",".",".",".",".",".",".",".","."
"Hydrology","415","001","","24","3.500","29.2","45.8","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Env Sustain Eng","421","001","","42","3.690","71.4","19.0","4.8",".",".","2.4","2.4",".",".",".",".",".",".",".",".","."
"","426","001","","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426","002","","20","3.972","85.0","5.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","426","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","","Course Total","","40","3.882","75.0","17.5","2.5",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","427","001","","23","3.886","73.9","21.7",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","427","002","","28","3.839","75.0","17.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","","Course Total","","54","3.868","75.9","18.5","3.7",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Steel Structures I","445","001","","33","3.017","12.1","30.3","15.2","21.2","6.1",".","3.0",".",".",".",".",".","12.1",".",".","."
"Legal Aspects-Engineering","491","001","","26","3.250","15.4","34.6","34.6","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","36","3.139","13.9","19.4","52.8","8.3","5.6",".",".",".",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497","001","","10","3.667","40.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Constructn Project Managmnt","498","001","","71","3.423","22.5","49.3","19.7","7.0","1.4",".",".",".",".",".",".",".",".",".",".","."
"Water Chemistry","500","001","","23","3.739","73.9","13.0",".","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"Coastal Engineering","514","001","","12","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seepage and Slopes","530","001","","15","3.133","33.3",".","46.7",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Urban Transport Planning","571","001","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Traffic Control","574","001","","16","3.367","25.0","18.8","50.0",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Advanced Pavement Design","576","001","","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","39","3.603","48.7","23.1","28.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","40","3.987","95.0","2.5",".",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"Special Topics in Hydrology","619","001","","11","3.786","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Toxicants in the Environmnt","631","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Remediation Geotechnics","635","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","649","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","649","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","","","Page 119 of 420"
