"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","111
001","42","3.881","78.6","19.0","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","40","3.897","85.0","10.0",".",".","2.5",".",".","2.5",".",".",".",".",".",".",".","."
"","111
003","42","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills Undergrads","Course Total","124","3.915","85.5","12.1","0.8",".","0.8",".",".","0.8",".",".",".",".",".",".",".","."
"Consuming Happiness","001
173","121","3.306","23.1","30.6","24.8","7.4","5.0","0.8",".",".",".",".",".",".",".",".","8.3","."
"","201
001","51","3.716","62.7","19.6","15.7","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","51","3.833","74.5","19.6","3.9","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Research & Analysis","Course Total","102","3.775","68.6","19.6","9.8","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Leadership Symposium","250
001","118","3.792","78.0","9.3","6.8","5.1","0.8",".",".",".",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","251
001","86","3.762","77.9","9.3","5.8","5.8",".",".","1.2",".",".",".",".",".",".",".",".","."
"Introduction to Retailing","001
257","122","3.578","54.9","21.3","13.1","5.7","4.9",".",".",".",".",".",".",".",".",".",".","."
"Finances & Families","273
001","44","3.477","31.8","36.4","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","80","3.119","11.3","37.5","27.5","16.3","5.0","2.5",".",".",".",".",".",".",".",".",".","."
"","275
002","98","3.340","42.9","16.3","20.4","10.2","6.1","3.1",".","1.0",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","178","3.240","28.7","25.8","23.6","12.9","5.6","2.8",".","0.6",".",".",".",".",".",".",".","."
"","301
001","47","3.255","23.4","34.0","25.5","8.5","6.4","2.1",".",".",".",".",".",".",".",".",".","."
"","301
002","45","3.444","24.4","48.9","17.8","8.9",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Analytics","Course Total","92","3.348","23.9","41.3","21.7","8.7","3.3","1.1",".",".",".",".",".",".",".",".",".","."
"","321
001","44","3.721","77.3","9.1",".","4.5","4.5","2.3",".","2.3",".",".",".",".",".",".",".","."
"","321
002","39","3.949","92.3","5.1","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
003","44","3.898","90.9","2.3","2.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","321
004","40","3.850","87.5","5.0",".","5.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills After Grad","Course Total","167","3.852","86.8","5.4","1.2","3.6","1.8","0.6",".","0.6",".",".",".",".",".",".",".","."
"Financial Coaching","001
355","27","3.741","51.9","44.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","39","3.000","25.6","30.8","15.4","5.1","10.3","10.3","2.6",".",".",".",".",".",".",".",".","."
"Special Topics","501
001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cons Strategy & Evl","555
001","75","3.773","58.7","37.3","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Channel Strategy","561
001","44","3.795","63.6","34.1",".","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"The Global Consumer","562
001","46","3.500","23.9","63.0","8.7","2.2",".","2.2",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564
001","45","3.433","42.2","28.9","17.8","4.4","2.2","4.4",".",".",".",".",".",".",".",".",".","."
"Product Development Strategies","567
001","59","3.695","64.4","18.6","10.2","5.1","1.7",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
001","20","3.900","95.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","015
603","14","3.857","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","627
001","43","2.988","18.6","25.6","16.3","23.3","14.0",".","2.3",".",".",".",".",".",".",".",".","."
"","002
627","35","3.114","28.6","17.1","17.1","28.6","5.7","2.9",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","Course Total","78","3.045","23.1","21.8","16.7","25.6","10.3","1.3","1.3",".",".",".",".",".",".",".",".","."
"Estate Plng for Fincl Planners","635
001","48","2.957","10.4","27.1","22.9","22.9","12.5","2.1",".","2.1",".",".",".",".",".",".",".","."
"","657
001","52","3.837","67.3","32.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","657
002","47","3.872","76.6","21.3","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","99","3.854","71.7","27.3","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
