"L&S","","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1552","3.516","48.8","17.5","16.8","4.3","4.1","1.3","0.4","3.4","",".",".","",".","1.0","1.7","0.1","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","98","3.316","29.6","20.4","37.8","4.1","6.1","1.0",".",".","",".",".","",".",".",".","1.0",".","."
"Sophomore","","303","3.481","46.5","23.8","16.2","4.6","6.6","1.7",".",".","",".",".","",".",".","0.7",".",".","."
"Junior","","356","3.490","48.3","18.3","18.8","7.9","3.9","0.8",".","0.3","",".",".","",".",".","1.7",".",".","."
"Senior","","445","3.480","45.8","20.0","20.4","3.4","4.0","1.8","0.2","0.9","",".",".","",".","0.4","2.5","0.2","0.2","."
"Undergraduates","","1202","3.470","45.4","20.5","20.3","5.1","4.8","1.4","0.1","0.4","",".",".","",".","0.2","1.6","0.2","0.1","."
"Special","","65","3.301","29.2","4.6","6.2","4.6","6.2","1.5","1.5","32.3","",".",".","",".",".","4.6",".","9.2","."
"Graduate","","285","3.754","67.7","8.1","4.6","1.1","0.7","0.7","1.4","9.5","",".",".","",".","4.9","1.4",".",".","."
"","Dept. Total","1552","3.516","48.8","17.5","16.8","4.3","4.1","1.3","0.4","3.4","",".",".","",".","1.0","1.7","0.1","0.5","."
