"ACCOUNTING AND INFO SYSTEMSection","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","31","3.048","29.0","16.1","22.6","12.9","16.1",".","3.2",".",".",".",".",".",".",".",".","."
"","100
002","29","2.517","10.3","10.3","6.9","31.0","37.9",".","3.4",".",".",".",".",".",".",".",".","."
"","100
003","35","2.871","20.0","14.3","28.6","17.1","14.3",".","5.7",".",".",".",".",".",".",".",".","."
"","004
100","31","3.177","29.0","19.4","25.8","9.7","16.1",".",".",".",".",".",".",".",".",".",".","."
"","100
005","33","2.891","21.2","3.0","42.4","6.1","21.2",".","3.0",".",".",".",".",".","3.0",".",".","."
"","100
006","34","2.912","11.8","17.6","38.2","11.8","17.6","2.9",".",".",".",".",".",".",".",".",".","."
"","007
100","34","2.632","8.8","14.7","23.5","17.6","29.4","2.9","2.9",".",".",".",".",".",".",".",".","."
"","100
008","31","3.065","32.3","6.5","29.0","12.9","16.1","3.2",".",".",".",".",".",".",".",".",".","."
"","009
100","31","2.855","9.7","9.7","45.2","12.9","22.6",".",".",".",".",".",".",".",".",".",".","."
"","010
100","28","3.214","32.1","25.0","14.3","10.7","17.9",".",".",".",".",".",".",".",".",".",".","."
"","100
011","26","3.000","19.2","23.1","15.4","23.1","19.2",".",".",".",".",".",".",".",".",".",".","."
"","012
100","29","2.793","20.7","3.4","31.0","17.2","20.7","6.9",".",".",".",".",".",".",".",".",".","."
"","100
013","29","2.983","24.1","17.2","24.1","13.8","17.2",".","3.4",".",".",".",".",".",".",".",".","."
"","014
100","35","3.029","28.6","5.7","25.7","28.6","8.6","2.9",".",".",".",".",".",".",".",".",".","."
"","100
015","35","2.914","14.3","11.4","42.9","11.4","17.1","2.9",".",".",".",".",".",".",".",".",".","."
"","100
016","32","2.781","6.3","18.8","28.1","18.8","28.1",".",".",".",".",".",".",".",".",".",".","."
"","017
100","34","2.779","14.7","8.8","32.4","17.6","23.5",".","2.9",".",".",".",".",".",".",".",".","."
"","018
100","30","2.867","16.7","13.3","33.3","6.7","26.7","3.3",".",".",".",".",".",".",".",".",".","."
"","100
019","33","2.561","21.2","3.0","21.2","18.2","21.2","9.1","6.1",".",".",".",".",".",".",".",".","."
"","100
020","26","2.981","23.1","11.5","26.9","15.4","23.1",".",".",".",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","626","2.890","19.5","12.5","28.3","15.7","20.6","1.8","1.6",".",".",".",".",".","0.2",".",".","."
"","001
211","39","3.179","20.5","30.8","20.5","20.5","7.7",".",".",".",".",".",".",".",".",".",".","."
"","211
002","37","2.986","18.9","16.2","35.1","13.5","13.5",".","2.7",".",".",".",".",".",".",".",".","."
"","003
211","39","2.987","20.5","15.4","35.9","7.7","17.9",".","2.6",".",".",".",".",".",".",".",".","."
"","004
211","37","2.986","13.5","16.2","43.2","13.5","10.8","2.7",".",".",".",".",".",".",".",".",".","."
"","211
005","38","2.947","15.8","18.4","31.6","13.2","18.4","2.6",".",".",".",".",".",".",".",".",".","."
"","006
211","36","2.944","13.9","16.7","44.4","11.1","5.6","8.3",".",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","226","3.007","17.3","19.0","35.0","13.3","12.4","2.2","0.9",".",".",".",".",".",".",".",".","."
"","300
001","253","3.295","30.0","26.9","24.1","13.4","2.0","2.8",".","0.4",".",".",".",".",".","0.4",".","."
"","300
002","39","3.282","25.6","38.5","15.4","12.8","5.1","2.6",".",".",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","292","3.293","29.5","28.4","22.9","13.4","2.4","2.7",".","0.3",".",".",".",".",".","0.3",".","."
"","301
001","37","3.216","24.3","10.8","54.1","5.4","5.4",".",".",".",".",".",".",".",".",".",".","."
"","301
002","33","3.409","27.3","39.4","24.2","6.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"","301
003","39","3.167","17.9","28.2","35.9","5.1","12.8",".",".",".",".",".",".",".",".",".",".","."
"","004
301","39","3.224","28.2","20.5","33.3","7.7","5.1",".","2.6",".",".",".",".",".","2.6",".",".","."
"","301
005","40","3.163","27.5","15.0","27.5","22.5","7.5",".",".",".",".",".",".",".",".",".",".","."
"","006
301","35","3.271","22.9","22.9","45.7","2.9","5.7",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","223","3.236","24.7","22.4","36.8","8.5","6.7",".","0.4",".",".",".",".",".","0.4",".",".","."
"","302
001","33","3.242","24.2","18.2","42.4","12.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"","002
302","36","3.257","27.8","16.7","33.3","16.7","2.8",".",".",".",".",".",".",".","2.8",".",".","."
"Financial Reporting II","Course Total","69","3.250","26.1","17.4","37.7","14.5","2.9",".",".",".",".",".",".",".","1.4",".",".","."
"","310
001","35","3.200","22.9","22.9","34.3","11.4","8.6",".",".",".",".",".",".",".",".",".",".","."
"","310
002","36","3.333","30.6","19.4","38.9","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","71","3.268","26.8","21.1","36.6","9.9","5.6",".",".",".",".",".",".",".",".",".",".","."
"","001
340","26","3.019","15.4","11.5","42.3","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 51 of 420"
