"ACCOUNTING AND INFO SYSTEMSection","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","340
002","34","3.338","29.4","29.4","26.5","8.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","340
003","37","3.216","16.2","27.0","48.6",".","8.1",".",".",".",".",".",".",".",".",".",".","."
"","004
340","38","3.250","18.4","31.6","36.8","7.9","5.3",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","135","3.219","20.0","25.9","38.5","8.9","6.7",".",".",".",".",".",".",".",".",".",".","."
"","001
406","24","3.375","33.3","16.7","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","406
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","28","3.375","28.6","25.0","39.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","001
603","42","3.595","42.9","35.7","19.0","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","002
603","38","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
003","39","3.579","43.6","25.6","28.2",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","119","3.669","52.9","27.7","17.6","0.8",".",".",".","0.8",".",".",".",".",".",".",".","."
"","620
001","33","3.409","24.2","42.4","27.3","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"","002
620","27","3.315","37.0","18.5","25.9","14.8",".","3.7",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","60","3.367","30.0","31.7","26.7","8.3","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"","621
001","32","3.250","28.1","25.0","28.1","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","002
621","24","3.271","33.3","16.7","29.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","56","3.259","30.4","21.4","28.6","8.9","10.7",".",".",".",".",".",".",".",".",".",".","."
"","630
001","35","3.600","45.7","28.6","25.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","34","3.559","35.3","41.2","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
003","18","3.472","27.8","38.9","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","87","3.557","37.9","35.6","26.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","40","3.650","47.5","35.0","17.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
040","44","3.698","61.4","27.3","6.8",".",".",".","2.3",".",".",".",".",".","2.3",".",".","."
"Financial Accounting","Course Total","84","3.675","54.8","31.0","11.9",".",".",".","1.2",".",".",".",".",".","1.2",".",".","."
"Financial Reporting I","701
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
001","21","3.595","42.9","33.3","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","38","3.329","26.3","21.1","44.7","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","59","3.424","32.2","25.4","37.3","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","24","3.854","79.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
710","24","3.813","79.2","4.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","48","3.833","79.2","8.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation of Pass-Thru Entities","001
722","23","3.478","39.1","21.7","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","22","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","765
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
020","34","3.529","23.5","58.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
021","33","3.530","24.2","57.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","93","3.530","17.2","41.9","12.9",".",".",".",".",".",".",".",".","23.7",".",".","4.3","."
"","770
001","37","3.905","81.1","18.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
002","38","3.711","44.7","52.6","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","75","3.807","62.7","36.0","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 52 of 420"
