"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"","200
001","112","3.210","25.0","27.7","28.6","10.7","4.5","2.7","0.9",".","",".","",".",".","",".","","",".",".",".","."
"","200
002","90","3.072","22.2","30.0","18.9","15.6","7.8","2.2","3.3",".","",".","",".",".","",".","","",".",".",".","."
"International Business","Course Total","202","3.149","23.8","28.7","24.3","12.9","5.9","2.5","2.0","",".","",".",".","",".","",".","",".",".",".","."
"Prof Comm&Cultr in Franc World","313
002","1","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Intercultural Communctn in Bus","320
001","23","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Spanish for Business","329
001","1","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","403
001","11","3.227","9.1","27.3","63.6",".",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"","403
002","9","3.444","33.3","33.3","22.2","11.1",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Global Issues in Management","Course Total","20","3.325","20.0","30.0","45.0","5.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Global Marketing Strategy","001
420","14","3.571","35.7","50.0","7.1","7.1",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Multinational Bus Finance","445
001","5","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"INTL BUS
235","Dept. Total","266","3.280","32.7","26.7","22.2","10.5","4.5","1.9","1.5","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","37","2.757","5.4","24.3","37.8","13.5","8.1","5.4","5.4","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","79","3.152","25.3","25.3","26.6","12.7","6.3","1.3","2.5","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","125","3.512","44.8","29.6","14.4","7.2","3.2","0.8",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","241","3.278","32.4","27.4","22.0","10.0","5.0","1.7","1.7","",".","",".",".","",".","",".","",".",".",".","."
"Special","","25","3.300","36.0","20.0","24.0","16.0",".","4.0",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","266","3.280","32.7","26.7","22.2","10.5","4.5","1.9","1.5","",".","",".",".","",".","",".","",".",".",".","."
