"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Introductory Econometrics","410","001","112","2.995","20.5","20.5","20.5","17.9","15.2","3.6",".",".",".",".",".",".","0.9","0.9",".","."
"","420","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","420","002","19","3.056","10.5","31.6","36.8","10.5",".",".","5.3",".",".",".",".",".","5.3",".",".","."
"","420","003","9","3.278","11.1","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","","Course Total","31","3.133","12.9","32.3","35.5","12.9",".",".","3.2",".",".",".",".",".","3.2",".",".","."
"Economic Decision Analysis","421","001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Financial System","435","001","36","3.286","33.3","16.7","30.6","11.1","2.8","2.8",".",".",".",".",".",".",".",".","2.8","."
"Analytical Public Finance","441","001","58","3.293","24.1","31.0","27.6","13.8","3.4",".",".",".",".",".",".",".",".",".",".","."
"Behavioral Economics","455","001","94","3.193","33.0","17.0","25.5","14.9","4.3","5.3",".",".",".",".",".",".",".",".",".","."
"Indust Struct&Comptitv Stratgy","458","001","43","3.733","60.5","25.6","14.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Macroeconomics","461","001","40","3.113","25.0","17.5","32.5","15.0","7.5",".","2.5",".",".",".",".",".",".",".",".","."
"International Trade","464","001","39","3.192","28.2","25.6","17.9","12.8","15.4",".",".",".",".",".",".",".",".",".",".","."
"American Economy to 1865","465","001","34","3.182","14.7","23.5","41.2","17.6",".",".",".",".",".",".",".",".",".","2.9",".","."
"Intl Industrial Organizations","467","001","62","3.267","33.9","21.0","29.0","6.5","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"Indus Organizat/Imperf Comp","468","001","23","3.196","26.1","17.4","34.8","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473","001","17","3.000","17.6","17.6","23.5","17.6","17.6",".",".","5.9",".",".",".",".",".",".",".","."
"Economics of Growth","475","001","37","3.514","56.8","10.8","18.9","5.4","8.1",".",".",".",".",".",".",".",".",".",".","."
"Agri & Econ Development-Africa","477","001","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law and Economics","522","001","119","3.133","27.7","12.6","31.1","16.0","12.6",".",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548","001","35","3.470","40.0","17.1","28.6","8.6",".",".",".","5.7",".",".",".",".",".",".",".","."
"","581","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Issues-International Finance","666","001","21","3.200","38.1","4.8","38.1","4.8","4.8",".","4.8","4.8",".",".",".",".",".",".",".","."
"","690","001","38","3.566","39.5","34.2","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","002","38","3.566","39.5","39.5","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","690","006","41","3.780","61.0","34.1","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","008","51","3.804","60.8","39.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Economics","","Course Total","168","3.690","51.2","36.9","10.7","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Mathematics for Economists","700","001","108","3.634","50.9","25.0","24.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microeconomics I","701","001","109","3.644","42.2","43.1","13.8",".",".",".",".",".",".",".",".",".","0.9",".",".","."
"Mathematical Economics I","703","001","28","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics I","704","001","108","3.440","34.3","19.4","46.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics II","705","001","21","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
