"L&S","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY
970","Dept. Total","1891","3.171","38.9","14.1","22.8","5.8","9.5","3.1","1.4","2.2","",".","0.7","",".","0.8","0.2","0.1","0.4","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","69","2.662","15.9","2.9","36.2","15.9","15.9","11.6","1.4",".","",".",".","",".",".",".",".",".","."
"Sophomore","","368","2.916","20.4","16.3","34.2","9.2","12.2","4.3","3.0",".","",".",".","",".",".","0.3",".",".","."
"Junior","","549","3.155","35.7","15.7","25.3","5.1","12.6","3.1","1.8",".","",".",".","",".",".","0.2","0.2","0.2","0.2"
"Senior","","740","3.342","50.7","14.2","16.8","4.5","7.3","2.3","0.5",".","",".","1.9","",".","1.4","0.1",".","0.4","."
"Undergraduates","","1726","3.146","38.1","14.7","24.0","6.1","10.4","3.4","1.5",".","",".","0.8","",".","0.6","0.2","0.1","0.2","0.1"
"Special","","26","3.463","38.5","11.5","23.1","3.8","3.8",".",".",".","",".",".","",".",".",".","3.8","15.4","."
"Graduate","","139","3.723","48.9","7.2","8.6","1.4",".",".",".","29.5","",".",".","",".","4.3",".",".",".","."
"","Dept. Total","1891","3.171","38.9","14.1","22.8","5.8","9.5","3.1","1.4","2.2","",".","0.7","",".","0.8","0.2","0.1","0.4","0.1"
