"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","","","",""
"","990
037","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research","Course Total","28","",".",".",".",".",".",".","",".","82.1","3.6",".","",".","14.3","",".",".",".","."
"DY SCI
292","Dept. Total","225","3.450","44.4","12.4","16.9","8.9","3.1","1.8","",".","10.2","0.4",".","",".","1.8","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","3.222","22.2","22.2","33.3","22.2",".",".","",".",".",".",".","",".",".","",".",".",".","."
"Sophomore","","31","3.705","77.4","12.9","3.2",".","6.5",".","",".",".",".",".","",".",".","",".",".",".","."
"Junior","","50","3.301","38.0","20.0","20.0","18.0","4.0",".","",".",".",".",".","",".",".","",".",".",".","."
"Senior","","103","3.462","49.5","11.7","23.3","8.7","2.9","3.9","",".",".",".",".","",".",".","",".",".",".","."
"Undergraduates","","193","3.442","49.7","14.5","19.7","10.4","3.6","2.1","",".",".",".",".","",".",".","",".",".",".","."
"Graduate","","32","4.000","12.5",".",".",".",".",".","",".","71.9","3.1",".","",".","12.5","",".",".",".","."
"","Dept. Total","225","3.450","44.4","12.4","16.9","8.9","3.1","1.8","",".","10.2","0.4",".","",".","1.8","",".",".",".","."
