"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","233","3.323","30.9","23.2","28.8","11.6","4.7",".",".",".",".",".",".",".","0.9",".",".","."
"","312
001","43","3.298","30.2","25.6","30.2","4.7","4.7",".","2.3",".",".",".",".",".","2.3",".",".","."
"","002
312","39","3.462","35.9","38.5","12.8","7.7","5.1",".",".",".",".",".",".",".",".",".",".","."
"","003
312","38","3.355","31.6","28.9","23.7","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","120","3.370","32.5","30.8","22.5","7.5","5.0",".","0.8",".",".",".",".",".","0.8",".",".","."
"","365
001","80","3.494","35.0","36.3","25.0",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","005
365","78","3.513","34.6","41.0","16.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","158","3.503","34.8","38.6","20.9","3.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","399
201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","001
410","60","3.297","30.0","25.0","20.0","20.0","3.3",".",".",".","1.7",".",".",".",".",".",".","."
"","002
410","54","3.260","24.1","25.9","27.8","13.0","5.6",".",".",".",".",".",".",".","3.7",".",".","."
"","003
410","42","3.464","31.0","35.7","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","156","3.330","28.2","28.2","25.0","13.5","3.2",".",".",".","0.6",".",".",".","1.3",".",".","."
"","415
001","55","3.300","30.9","18.2","38.2","5.5","7.3",".",".",".",".",".",".",".",".",".",".","."
"","002
415","60","3.308","30.0","13.3","46.7","8.3","1.7",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","115","3.304","30.4","15.7","42.6","7.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"","001
420","49","3.602","36.7","46.9","16.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","29","3.621","37.9","48.3","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
003","50","3.410","20.0","48.0","26.0","6.0",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","128","3.531","30.5","47.7","19.5","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","001
611","19","3.684","73.7","5.3","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Capital Markets","640
001","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"RE Investment Analysis","661
001","34","3.544","35.3","38.2","26.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","19","3.526","42.1","21.1","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","001
712","14","3.464","35.7","35.7","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","24","3.543","29.2","45.8","20.8",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","20","3.550","35.0","40.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
028","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
142","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
222","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng&Rsch-Real Estate PhD","Course Total","2","***","","","","","","","","","","","","","","","",""
