"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","33","3.939","90.9","6.1","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Signals, Information & Comp","203
001","124","3.480","44.4","26.6","14.5","9.7","4.8",".",".",".",".",".",".",".",".",".",".","."
"","210
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
007","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
008","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","172","3.994","99.4",".","0.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analytical Methods for EM Engr","219
001","114","3.737","71.1","13.2","12.3","0.9","1.8","0.9",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","78","3.301","57.7","6.4","15.4","5.1","7.7","2.6","5.1",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","113","2.879","31.9","18.6","10.6","12.4","10.6","8.8","6.2",".",".",".",".",".","0.9",".",".","."
"","235
001","33","3.030","18.2","27.3","21.2","15.2","15.2","3.0",".",".",".",".",".",".",".",".",".","."
"","235
002","18","3.194","33.3","22.2","27.8","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","Course Total","51","3.088","23.5","25.5","23.5","11.8","11.8","2.0","2.0",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","252
001","124","3.387","47.6","19.4","14.5","8.1","8.1","0.8","1.6",".",".",".",".",".",".",".",".","."
"","270
001","52","3.721","61.5","30.8",".","5.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"","002
270","46","3.696","58.7","23.9","15.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","98","3.709","60.2","27.6","7.1","4.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"","271
001","31","3.823","74.2","19.4","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","41","3.780","70.7","19.5","4.9","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
303","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Real-Time DSP","Course Total","31","3.903","80.6","19.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","305
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
003","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","55","3.973","96.4","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
001","18","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
002","18","3.694","44.4","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
003","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","Course Total","48","3.719","47.9","47.9","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","90","3.406","56.7","7.8","13.3","6.7","14.4","1.1",".",".",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","61","3.148","21.3","26.2","29.5","9.8","11.5","1.6",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","89","2.886","14.6","22.5","21.3","18.0","18.0","3.4","1.1",".",".",".",".",".","1.1",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","Page 123 of 420",""
