"","990
018","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
022","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
024","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","8","",".",".",".",".",".","",".",".","75.0","",".",".","",".","25.0",".",".",".","."
"COMP LIT
260","Dept. Total","275","3.766","67.3","20.7","4.7","1.5","0.4","",".","1.1","2.5","",".",".","",".","0.7","0.7",".",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","61","3.707","60.7","16.4","14.8","3.3",".","",".",".",".","",".",".","",".",".","3.3",".",".","1.6"
"Sophomore","","66","3.826","72.7","21.2","4.5","1.5",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","67","3.821","70.1","26.9","1.5",".","1.5","",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","","61","3.664","70.5","23.0",".","1.6",".","",".","4.9",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","255","3.758","68.6","22.0","5.1","1.6","0.4","",".","1.2",".","",".",".","",".",".","0.8",".",".","0.4"
"Special","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","19","3.955","52.6","5.3",".",".",".","",".",".","31.6","",".",".","",".","10.5",".",".",".","."
"","Dept. Total","275","3.766","67.3","20.7","4.7","1.5","0.4","",".","1.1","2.5","",".",".","",".","0.7","0.7",".",".","0.4"
