"URBAN AND REGIONAL PLANNINSection","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","",""
"Introduction to the City","305","001","","17","3.441","52.9","23.5","11.8","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","420","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban Spatial Patterns&Thry","505","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Apps of GIS in Planning","532","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Transport & Built Environment","550","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","590","001","","8","3.659","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"UniverCity Year Experience","597","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban Design: Theory/Practice","611","001","","19","3.583","15.8","78.9",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Urban Economics","720","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods-Planning Analysis","721","001","","12","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Regional Planning","731","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Planning","741","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Planning","751","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Energy Analysis & Policy","809","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Planning Workshop","912","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","","Course Total","","2","***","","","","","","","","","","","","","","","",""
