"Advanced Chinese through Media","454
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Advanced Topics in Asian Trans","001
475","7","3.929","85.7","14.3",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Advanced Readings in Sanskrit","675
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"ASIALANG
186","Dept. Total","834","3.705","66.1","19.5","7.8","3.0","1.2","0.7","0.5","0.8","",".",".","",".","",".","0.2",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","123","3.694","63.4","22.0","8.1","4.9","0.8","0.8",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","210","3.667","64.8","21.4","8.1","2.4","1.0","1.0","1.4",".","",".",".","",".","",".",".",".",".","."
"Junior","","201","3.723","66.2","20.4","9.5","2.5",".","1.0",".","0.5","",".",".","",".","",".",".",".",".","."
"Senior","","219","3.677","65.3","18.3","7.3","4.1","2.7","0.5","0.5","1.4","",".",".","",".","",".",".",".",".","."
"Undergraduates","","753","3.689","65.1","20.3","8.2","3.3","1.2","0.8","0.5","0.5","",".",".","",".","",".",".",".",".","."
"Special","","19","3.736","57.9","21.1",".",".","5.3",".",".","10.5","",".",".","",".","",".",".",".","5.3","."
"Graduate","","58","3.900","81.0","8.6","5.2",".",".",".",".","1.7","",".",".","",".","",".","3.4",".",".","."
"Prof Yr 2","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","4","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","834","3.705","66.1","19.5","7.8","3.0","1.2","0.7","0.5","0.8","",".",".","",".","",".","0.2",".","0.1","."
