"Independent Study","","","","","","","","","","","","","","","","","","","","","","",""
"Connected Learning","700
001","16","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"Professional Presentations","702
001","29","3.852","79.3","6.9","3.4",".","3.4",".",".",".","",".","",".",".","",".","","6.9",".",".","."
"Key Legal Concepts","713
002","29","3.517","34.5","55.2","6.9",".",".",".","3.4",".","",".","",".",".","",".","",".",".",".","."
"E P D
348","Dept. Total","719","3.632","55.9","27.7","11.1","2.5","1.1","0.1","0.3","",".","",".","0.7","",".","",".","0.4",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","25","3.447","20.0","48.0","28.0",".",".",".",".","",".","",".","4.0","",".","",".",".",".",".","."
"Senior","","314","3.463","29.0","44.6","18.8","4.5","2.2",".",".","",".","",".","1.0","",".","",".",".",".",".","."
"Undergraduates","","341","3.461","28.2","44.9","19.6","4.1","2.1",".",".","",".","",".","1.2","",".","",".",".",".",".","."
"Special","","13","3.548","69.2","15.4","7.7","7.7",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","365","3.855","81.4","12.1","3.3","0.8","0.3","0.3","0.5","",".","",".","0.3","",".","",".","0.8",".",".","0.3"
"","Dept. Total","719","3.632","55.9","27.7","11.1","2.5","1.1","0.1","0.3","",".","",".","0.7","",".","",".","0.4",".",".","0.1"
