"","ENVIR ST - GAYLORD NELSON INSection","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Agroecology of Food and Ag","103","002","25","3.380","44.0","24.0","20.0","4.0",".","8.0",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","49","3.781","77.6","12.2","4.1","2.0",".",".","2.0",".",".",".",".",".","2.0",".",".","."
"Envir St-Social Perspective","112","001","244","3.400","29.5","40.2","14.3","7.8","5.7","0.4",".","1.6",".",".",".",".","0.4",".",".","."
"","117","001","32","3.581","78.1",".","6.3",".","3.1","9.4",".",".",".",".",".",".","3.1",".",".","."
"","117","002","42","3.714","81.0",".","14.3",".","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"GreenHouse Roots Seminar","","Course Total","74","3.658","79.7",".","10.8",".","2.7","4.1","1.4",".",".",".",".",".","1.4",".",".","."
"Intro Earth System","120","001","119","3.144","19.3","15.1","45.4","15.1","3.4","0.8",".","0.8",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","54","3.426","46.3","7.4","38.9",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","13","3.458","30.8","38.5","7.7","15.4",".",".",".",".",".",".",".",".","7.7",".",".","."
"Global Environmental Issues","139","001","85","3.364","22.4","36.5","21.2","5.9","4.7",".",".","9.4",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","36","3.778","72.2","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","93","2.901","17.2","11.8","33.3","11.8","20.4","3.2",".",".",".",".",".",".","1.1","1.1",".","."
"Environment: Religion & Ethics","270","001","53","3.843","79.2","7.5","7.5",".","1.9",".",".","3.8",".",".",".",".",".",".",".","."
"IndigenousPeoples&Environment","306","001","83","3.388","41.0","24.1","19.3","4.8","3.6","1.2","2.4","3.6",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315","001","42","3.163","40.5","7.1","19.0","9.5","16.7",".","2.4","2.4",".",".",".",".",".",".","2.4","."
"Climatic Environments-Past","335","001","7","3.333","14.3","28.6","42.9",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Nature, Power and Society","337","001","39","3.265","12.8","33.3","30.8","7.7","2.6",".",".",".",".",".",".",".","5.1",".","7.7","."
"Environmental Conservation","339","001","49","3.543","32.7","40.8","20.4","2.0",".",".",".",".",".",".",".",".",".",".","4.1","."
"Environmental Economics","343","001","16","3.063","25.0","18.8","31.3","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"Climate Change Governance","349","001","100","3.538","49.0","22.0","10.0","4.0","8.0",".",".",".",".",".",".",".","1.0","1.0","5.0","."
"Introduction to Air Quality","355","001","24","3.348","45.8","8.3","20.8","16.7",".","4.2",".",".",".",".",".",".","4.2",".",".","."
"Extinction of Species","360","001","56","3.509","50.0","19.6","19.6","1.8","5.4","1.8",".","1.8",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","15","2.833","33.3","13.3","26.7","6.7",".","6.7","13.3",".",".",".",".",".",".",".",".","."
"Animals in History","369","001","18","3.806","77.8","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","12","2.818","16.7","33.3","16.7",".","8.3","8.3","8.3","8.3",".",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","400","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","401","001","18","3.778","88.9",".","5.6",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","402","003","15","3.733","73.3","13.3",".","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","402","004","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","34","3.853","82.4","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","120","3.282","42.5","25.8","10.8","3.3","10.0","4.2","2.5",".",".",".",".",".","0.8",".",".","."
"Law and Environment","430","002","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","102","3.545","50.0","14.7","27.5","6.9",".",".",".",".",".",".",".",".",".","1.0",".","."
"Apps of GIS in Planning","532","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Environment","537","001","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Impact of Global Envr Chg","560","001","39","3.803","74.4","17.9",".",".","5.1",".",".","2.6",".",".",".",".",".",".",".","."
"","600","001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 162 of 420",""
