"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"501
Radiographic Anat-Dog&Cat","001","","96","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"548
Diseases of Wildlife","001","","10","2.800","10.0","20.0","30.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"630
Small Animal Surgery","001","","99","3.293","32.3","16.2","35.4","10.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","99","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","99","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"638
Veterinary Diagnostic Imaging","001","","99","3.949","90.9","8.1","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"642
Large Animal Surgery","001","","31","4.000","9.7",".",".",".",".",".",".","90.3",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","16","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"645","001","","29","4.000","51.7",".",".",".",".",".",".","34.5",".",".",".",".",".",".","13.8","."
"645","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","30","4.000","50.0",".",".",".",".",".",".","33.3",".",".",".",".",".",".","16.7","."
"646
Veterinary Anesthesiology","001","","28","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","40","4.000","15.0",".",".",".",".",".",".","85.0",".",".",".",".",".",".",".","."
"675","001","","12","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"675","003","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","6","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"675","005","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675","008","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","56","4.000","33.9",".",".",".",".",".",".","66.1",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","17","4.000","52.9",".",".",".",".",".",".","47.1",".",".",".",".",".",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"748
Dentistry & Oral Surg Rotation","001","","11","4.000","54.5",".",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"775","001","","19","",".",".",".",".",".",".",".","94.7",".",".",".",".",".",".","5.3","."
"775","002","","16","",".",".",".",".",".",".",".","81.3",".",".",".",".",".",".","18.8","."
"775","003","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","49","",".",".",".",".",".",".",".","91.8",".",".",".",".",".",".","8.2","."
"812
Rsch Ethics&Career Development","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
