"","890
042","","3","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","890
066","","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Individual Research Thesis","Course Total","","4","***","","","","","","","","","","","","","","","","","","","",""
"Seminar-Oratory","950
001","","4","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"LATIN
524","Dept. Total","","86","3.486","36.0","33.7","15.1","7.0","",".","1.2","",".","3.5","",".",".","",".","2.3","1.2",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","30","3.319","16.7","43.3","26.7","13.3","",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","","14","3.500","35.7","50.0",".",".","",".","7.1","",".",".","",".",".","",".",".","7.1",".",".","."
"Junior","","","11","3.634","54.5","27.3","9.1","9.1","",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","","17","3.462","35.3","29.4","23.5","5.9","",".",".","",".",".","",".",".","",".","5.9",".",".",".","."
"Undergraduates","","","72","3.432","30.6","38.9","18.1","8.3","",".","1.4","",".",".","",".",".","",".","1.4","1.4",".",".","."
"Graduate","","","14","3.938","64.3","7.1",".",".","",".",".","",".","21.4","",".",".","",".","7.1",".",".",".","."
"","Dept. Total","","86","3.486","36.0","33.7","15.1","7.0","",".","1.2","",".","3.5","",".",".","",".","2.3","1.2",".",".","."
