"GERMAN, NORDIC, AND SLAVIC Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"425
GNS","","","","","","","","","","","","","","","","","","","","",""
"Folklore Cent East North Eur","200","001","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cultures of Sustainability CEN","210","001","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Kazakh","331","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","339","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","339","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Turkish","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Third Semester Kazakh","431","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Turkish","439","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar-Central Asian Hist","624","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"GNS
425","","Dept. Total","","50","3.837","70.0","24.0","4.0",".",".",".",".","2.0",".",".",".",".",".",".",".","."
