"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","170
001","108","3.940","88.9","10.2","0.9",".","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"","002
170","130","3.877","79.2","17.7","2.3","0.8","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Design Practicum","Course Total","238","3.905","83.6","14.3","1.7","0.4","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Current Issues in Intl Engr","413
001","18","4.000","100.0",".",".",".","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"","601
001","11","3.545","45.5","27.3","18.2","9.1","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"","010
601","6","3.300","33.3",".","33.3","16.7","",".","",".","",".",".","",".","",".",".","",".","","16.7",".",".","."
"Topics-Interdis Engineering","Course Total","17","3.404","41.2","17.6","23.5","11.8","",".","",".","",".","",".","",".",".","",".","",".","5.9",".",".","."
"INTEREGR
496","Dept. Total","273","3.891","82.1","13.6","2.9","1.1","",".","",".","",".","",".","",".",".","",".","",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","118","3.876","77.1","20.3","1.7","0.8","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","218","3.912","92.2","5.5","0.9","0.9","",".","",".","",".","",".","",".",".","",".","",".",".","0.5",".","."
"Junior","","125","3.904","92.8","0.8","1.6",".","",".","",".","",".","",".","",".",".","",".","",".",".","4.8",".","."
"Senior","","42","3.793","90.5",".","4.8",".","",".","",".","",".","",".","",".",".","",".","",".","2.4","2.4",".","."
"Undergraduates","","503","3.891","88.7","7.4","1.6","0.6","",".","",".","",".","",".","",".",".","",".","",".","0.2","1.6",".","."
"","Dept. Total","503","3.891","88.7","7.4","1.6","0.6","",".","",".","",".","",".","",".",".","",".","",".","0.2","1.6",".","."
