"","699
036","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","","","","",""
"Adv Theatre Hist-1700-Pres","732
001","3","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","990
035","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"THEATRE
942","Dept. Total","601","3.686","64.7","21.0","7.3","2.7","1.0","0.5","1.3","",".","",".",".","",".","0.2","1.2","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","62","3.772","69.4","19.4","9.7",".","1.6",".",".","",".","",".",".","",".",".",".",".",".","."
"Sophomore","","176","3.612","60.2","20.5","8.5","4.5","1.1","0.6","2.3","",".","",".",".","",".",".","2.3",".",".","."
"Junior","","124","3.691","64.5","21.8","5.6","4.8","0.8","0.8","0.8","",".","",".",".","",".",".","0.8",".",".","."
"Senior","","202","3.712","66.8","21.3","7.4","1.0","1.0","0.5","1.0","",".","",".",".","",".",".","1.0",".",".","."
"Undergraduates","","564","3.683","64.5","20.9","7.6","2.8","1.1","0.5","1.2","",".","",".",".","",".",".","1.2",".",".","."
"Special","","15","3.571","66.7","13.3","6.7",".",".",".","6.7","",".","",".",".","",".",".",".","6.7",".","."
"Graduate","","22","3.850","68.2","27.3",".",".",".",".",".","",".","",".",".","",".","4.5",".",".",".","."
"","Dept. Total","601","3.686","64.7","21.0","7.3","2.7","1.0","0.5","1.3","",".","",".",".","",".","0.2","1.2","0.2",".","."
