"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","116","3.905","87.1","8.6","3.4",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"","002
301","117","3.889","88.0","7.7",".","2.6","1.7",".",".",".",".",".",".",".",".",".",".","."
"","003
301","86","3.859","82.6","9.3","5.8",".",".","1.2",".",".",".",".",".",".",".",".","1.2","."
"How People Learn","Course Total","319","3.887","86.2","8.5","2.8","0.9","0.9","0.3",".",".",".",".",".",".",".",".","0.3","."
"","320
001","105","3.678","61.9","21.9","8.6","3.8","1.9","1.0",".","1.0",".",".",".",".",".",".",".","."
"","320
002","115","3.835","83.5","9.6","0.9","2.6","3.5",".",".",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","220","3.760","73.2","15.5","4.5","3.2","2.7","0.5",".","0.5",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","103","3.218","15.5","35.9","29.1","14.6","1.9",".","1.0",".",".",".",".",".","1.0",".","1.0","."
"Mind, Brain and Education","326
001","113","3.456","41.6","33.6","13.3","4.4","5.3",".","1.8",".",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","87","3.626","55.2","26.4","13.8","2.3","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"","470
013","10","3.947","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
025","16","3.931","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
028","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
029","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
077","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Experience Ed Psych","Course Total","56","3.975","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"","506
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","506
006","8","3.375","75.0",".","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","506
007","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","506
009","18","3.436","61.1","27.8",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","56","3.707","75.0","12.5","1.8",".",".",".","5.4","1.8",".",".",".",".",".","1.8","1.8","."
"Thinking, Feeling, & Learning","533
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behavior Analysis in Classrms","541
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biological Basis of Behavior","542
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
001","33","3.939","87.9","12.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","33","3.712","60.6","27.3","9.1",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Adol Dev in Educ Contexts","Course Total","66","3.826","74.2","19.7","4.5",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"Supervision of Schl Personnel","631
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
025","6","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","22","3.918","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","711
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
