"LANDSCAPE ARCHITECTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","",""
"","210
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Intro Land Arch Design","Course Total","","18","3.971","88.9","5.6",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","001
250","","13","2.885","30.8","23.1","23.1",".","7.7",".","15.4",".",".",".",".",".",".",".",".","."
"","250
003","","13","2.962","30.8","23.1","23.1",".",".","23.1",".",".",".",".",".",".",".",".",".","."
"","250
005","","18","3.389","61.1","11.1","11.1",".","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","006
250","","15","3.300","26.7","40.0","13.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","008
250","","12","2.833","16.7","33.3","25.0",".","8.3","8.3","8.3",".",".",".",".",".",".",".",".","."
"","009
250","","12","3.417","41.7","50.0",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","010
250","","12","3.000","25.0","25.0","25.0","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","Course Total","","95","3.132","34.7","28.4","16.8","2.1","7.4","4.2","6.3",".",".",".",".",".",".",".",".","."
"Prin Land Arc Dsgn&Graphics","261
002","","9","3.313","11.1","44.4","22.2","11.1",".",".",".",".",".",".",".",".","11.1",".",".","."
"Landscape Plants I","263
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Landscape Arch Tech II","354
001","","12","3.292","33.3","25.0","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","375
003","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Visual Communication","460
001","","11","3.545","18.2","72.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apps of GIS in Planning","532
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","550
001","","14","3.429","7.1","85.7",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Plants and Ecology in Design","001
560","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Designing Sustainable Regions","563
001","","15","3.567","40.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","001
610","","14","3.536","35.7","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Geodesign Methods","631
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Restoration Ecology","001
668","","15","3.533","60.0","26.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","699
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Nat Plnt Comm Restoratn&Mgt","866
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Seminar","940
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"","999
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","3","***","","","","","","","","","","","","","","","",""
