"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"692","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"698
Directed Study","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.925","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800
Poli Sci-Discipline&Profession","001","","12","",".",".",".",".",".",".",".","91.7",".",".",".",".",".",".",".","8.3"
"801
Research and Writing Seminar","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"804
Interdis W Europ Studies Sm","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812
Intro Stats in Political Sci","002","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"817
Empirical Methods Poli Inquiry","001","","13","3.750","46.2","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"818
Maximum Likelihood Estimation","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"839
Methods of Political Theory","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"853
Comparatv Political Institutns","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"856
Field Smr-Comparative Politics","001","","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"857
Intl Relations Theories","001","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"904
Seminar-American Politics","001","","9","3.857","55.6","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".",".","11.1"
"919","001","","14","3.667","57.1","7.1","14.3","7.1",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"919","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem-Adv Methodology","Course Total","","18","3.714","55.6","5.6","11.1","5.6",".",".",".","5.6",".",".",".",".","16.7",".",".","."
"931
Seminar-Political Theory","001","","10","3.625","20.0","60.0",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"948
Smr:Topics in Comp Politics","001","","11","3.600","18.2","72.7",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"986
Political Theory Workshop","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"987
Comparative Politic Colloquium","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"988
International Relations Wkshop","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"989
American Politics Workshop","001","","13","",".",".",".",".",".",".",".","92.3",".",".",".",".",".",".",".","7.7"
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 303 of 420",""
