"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"299","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"301
Intro to Sci & Technol of Food","001","","31","2.919","12.9","19.4","38.7","22.6",".",".","6.5",".",".",".",".",".",".",".",".","."
"324","003","","8","2.750","25.0","12.5","12.5","37.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"324","004","","8","2.688",".",".","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","","16","2.719","12.5","6.3","31.3","37.5","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"325
Food Microbiology","001","","29","2.714","6.9","3.4","48.3","17.2","13.8","6.9",".","3.4",".",".",".",".",".",".",".","."
"410
Food Chemistry","001","","29","3.259","20.7","41.4","24.1","3.4","6.9","3.4",".",".",".",".",".",".",".",".",".","."
"437
Food Service Operations","001","","34","3.455","26.5","44.1","17.6","8.8",".",".",".",".",".",".",".",".","2.9",".",".","."
"438","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"438","002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Principles of Food Engr","001","","19","3.000","5.3","31.6","36.8","21.1",".","5.3",".",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","12","3.636","58.3",".","33.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"532
Integrated Food Manufacturing","001","","38","2.892","13.2","13.2","36.8","7.9","26.3",".",".",".",".",".",".",".","2.6",".",".","."
"535
Confectionery Science&Technlgy","001","","11","3.318","18.2","45.5","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"551
Food Fermentation Laboratory","001","","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"602
Senior Project","001","","34","3.758","64.7","20.6","8.8","2.9",".",".",".",".",".",".",".",".","2.9",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"710
Chem of the Food Lipids","001","","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Practicum-Food Sci Teaching","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar Advanced","001","","31","3.667","6.5","12.9",".",".",".",".",".","80.6",".",".",".",".",".",".",".","."
"990","009","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","35","",".",".",".",".",".",".",".","82.9",".",".",".","17.1",".",".",".","."
