"","990
073","3","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
078","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
081","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","31","",".",".",".",".",".",".","",".","77.4","",".",".","",".","22.6",".",".",".","."
"PATH-BIO
703","Dept. Total","1099","3.635","43.7","15.3","10.3","1.1","1.3","0.1","",".","27.2","",".",".","",".","0.6","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","3.893","87.5","12.5",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","17","3.333","47.1","11.8","29.4",".","11.8",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","35","3.414","60.0","11.4","17.1",".","8.6","2.9","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","38","3.490","60.5","2.6","15.8","5.3","10.5",".","",".",".","",".",".","",".",".","5.3",".",".","."
"Undergraduates","","98","3.457","60.2","8.2","17.3","2.0","9.2","1.0","",".",".","",".",".","",".",".","2.0",".",".","."
"Special","","3","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","49","3.900","14.3",".","2.0",".",".",".","",".","69.4","",".",".","",".","10.2","4.1",".",".","."
"Prof Yr 1","","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 2","","745","3.653","50.9","21.5","12.8","1.3","0.7",".","",".","12.8","",".",".","",".","0.1",".",".",".","."
"Prof Yr 3","","100","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","102","4.000","30.4",".",".",".",".",".","",".","67.6","",".",".","",".","1.0","1.0",".",".","."
"Professionals","","949","3.661","43.3","16.9","10.0","1.1","0.5",".","",".","27.9","",".",".","",".","0.2","0.1",".",".","."
"","Dept. Total","1099","3.635","43.7","15.3","10.3","1.1","1.3","0.1","",".","27.2","",".",".","",".","0.6","0.5",".",".","."
