"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Intro Applied Stats-Life Sci","Course Total","659","3.212","38.7","16.2","21.4","8.8","10.0","3.3","1.5",".",".",".",".",".",".",".",".","."
"Intro-Survey Theory & Meths","001
411","49","3.010","34.7","12.2","12.2","18.4","18.4",".","4.1",".",".",".",".",".",".",".",".","."
"Appl Categorical Data Anal","421
001","42","3.513","33.3","35.7","21.4","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"Stat Expermntl Design","424
001","47","3.435","40.4","31.9","19.1","2.1",".",".","4.3",".",".",".",".",".","2.1",".",".","."
"","431
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
003","7","3.143","28.6","28.6","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"","431
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","15","3.033","26.7","33.3","6.7",".","26.7","6.7",".",".",".",".",".",".",".",".",".","."
"Appl Multivariate Analysis","456
001","30","2.983","20.0","26.7","16.7","10.0","20.0",".","3.3","3.3",".",".",".",".",".",".",".","."
"Financial Statistics","461
001","46","2.967","30.4","6.5","37.0","4.3","15.2",".","6.5",".",".",".",".",".",".",".",".","."
"","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","8","3.500","75.0",".",".",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","479
001","40","3.282","30.0","27.5","15.0","17.5","7.5",".",".","2.5",".",".",".",".",".",".",".","."
"","479
002","68","3.603","42.6","35.3","22.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Stats","Course Total","108","3.486","38.0","32.4","19.4","6.5","2.8",".",".","0.9",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostatistics","001
541","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571
001","63","3.452","28.6","31.7","38.1",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"","002
571","63","3.475","34.9","34.9","22.2",".","3.2","1.6",".","1.6",".",".",".",".","1.6",".",".","."
"Stat Meth for Bioscience I","Course Total","126","3.463","31.7","33.3","30.2",".","1.6","0.8",".","1.6",".",".",".",".","0.8",".",".","."
"","001
601","23","3.848","78.3","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","48","3.813","70.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Statistical Methods I","Course Total","71","3.824","73.2","18.3","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Science Computing Project","605
001","74","3.878","77.0","21.6","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics I","609
001","27","3.537","29.6","51.9","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","610
001","47","3.660","44.7","44.7","8.5","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","610
002","34","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","Course Total","81","3.679","48.1","40.7","9.9","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Data Science Practicum","628
001","73","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","632
002","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","003
632","6","3.500","66.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","632
004","7","3.357","71.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","19","3.395","57.9","10.5","15.8","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Statistcl Mthds-Epidemiolgy","642
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
146","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
242","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","5","***","","","","","","","","","","","","","","","",""
"Directed Study","698
242","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","Page 333 of 420",""
