"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"URBAN AND REGIONAL PLANNINSection","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","",""
"URB R PL
Dept. Total
944","154","3.765","61.0","22.7","4.5","0.6","",".","",".","0.6","9.7","",".",".","",".","",".","0.6",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","6","2.870","50.0",".","16.7","16.7","",".","",".","16.7",".","",".",".","",".","",".",".",".",".","."
"Junior","8","3.707","50.0","37.5","12.5",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","17","3.691","41.2","47.1","5.9",".","",".","",".",".",".","",".",".","",".","",".","5.9",".",".","."
"Undergraduates","31","3.519","45.2","35.5","9.7","3.2","",".","",".","3.2",".","",".",".","",".","",".","3.2",".",".","."
"Special","4","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","117","3.849","65.0","18.8","3.4",".","",".","",".",".","12.8","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Dept. Total","154","3.765","61.0","22.7","4.5","0.6","",".","",".","0.6","9.7","",".",".","",".","",".","0.6",".",".","."
