"","999
071","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
076","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
103","4","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
108","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","32","4.000","78.1",".",".",".",".",".",".","9.4","",".",".","",".",".","12.5",".",".","."
"HISTORY
448","Dept. Total","2769","3.495","40.7","25.0","13.0","4.7","2.6","0.5","0.8","8.6","",".","0.9","",".","0.3","1.4","0.3","0.9","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","601","3.467","40.4","32.1","15.8","6.8","3.8","0.3","0.3",".","",".",".","",".",".","0.2",".",".","0.2"
"Sophomore","","620","3.487","42.4","31.1","16.9","4.7","3.1","0.2","1.0",".","",".",".","",".",".","0.5",".",".","0.2"
"Junior","","506","3.487","46.8","27.9","13.6","6.1","2.2","1.4","1.0",".","",".",".","",".",".","0.8",".",".","0.2"
"Senior","","577","3.474","45.8","24.8","14.6","4.5","3.1","0.9","1.6","0.9","",".",".","",".","0.9","2.9",".","0.2","."
"Undergraduates","","2304","3.479","43.7","29.1","15.3","5.5","3.1","0.7","1.0","0.2","",".",".","",".","0.2","1.1",".","0.0","0.1"
"Special","","246","3.197","2.8","4.1","1.2","1.6","0.8",".","0.4","74.8","",".","0.4","",".",".","0.8","2.8","10.2","."
"Graduate","","219","3.918","51.6","5.9","1.8",".",".",".",".","21.9","",".","11.0","",".","1.8","5.9",".",".","."
"","Dept. Total","2769","3.495","40.7","25.0","13.0","4.7","2.6","0.5","0.8","8.6","",".","0.9","",".","0.3","1.4","0.3","0.9","0.1"
