"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"HDFS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","147","3.697","70.1","16.3","5.4","3.4","3.4","1.4",".",".","",".",".","",".","",".",".",".",".","."
"Junior","450","3.687","68.9","15.8","8.2","2.9","2.0","1.3","0.2",".","",".",".","",".","",".","0.7",".",".","."
"Senior","509","3.736","72.9","12.0","8.8","2.0","1.6","0.8","0.4","0.4","",".",".","",".","",".","1.2",".",".","."
"Undergraduates","1107","3.707","70.8","14.1","8.1","2.5","2.0","1.1","0.4","0.2","",".",".","",".","",".","0.8",".",".","."
"Special","5","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","70","3.928","60.0","10.0",".",".",".",".",".","30.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
