"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Politcs&Governmt","104","001","326","3.030","19.3","23.6","23.3","14.7","13.2","2.5","0.9","1.8",".",".",".",".","0.6",".",".","."
"Politics Around the World","120","001","151","3.796","81.5","6.0","4.0","3.3","0.7","1.3","0.7","0.7",".",".",".",".",".","0.7","1.3","."
"Intro-Internatl Relations","140","001","239","3.090","21.3","25.5","20.1","18.0","9.2","2.9","0.4",".",".",".",".",".",".",".","2.1","0.4"
"Intro to Political Theory","160","001","192","3.601","54.2","32.8","4.2","2.1","2.1","1.0","2.1","0.5",".",".",".",".","1.0",".",".","."
"Research Methods in Poli Sci","170","001","102","3.373","19.6","53.9","17.6","4.9","2.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"Politics Around World-Honors","182","001","23","4.000","95.7",".",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Law, Politics and Society","217","001","58","3.422","27.6","27.6","29.3","1.7",".","1.7",".","10.3",".",".",".",".",".","1.7",".","."
"SE Asia:Vietnam to Philipns","244","001","32","3.565","59.4","15.6","12.5","6.3",".",".","3.1",".",".",".",".",".",".",".","3.1","."
"Intro East Asian Civilizations","255","001","26","3.700","53.8","26.9","15.4",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Dev Mod West Pol Thought","266","001","29","3.083","27.6","10.3","27.6","3.4","6.9","3.4","3.4",".",".",".",".",".","10.3","6.9",".","."
"US & Ltn Am:Col Era to Present","268","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Understndng Politcl Numbers","270","001","33","2.939","21.2","30.3","15.2","12.1","12.1","3.0","6.1",".",".",".",".",".",".",".",".","."
"Intro to Public Policy","272","001","55","3.591","45.5","34.5","12.7","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","46","3.435","60.9","13.0","8.7","8.7","2.2","2.2","4.3",".",".",".",".",".",".",".",".","."
"Mexican-American Politics","302","001","16","3.125","31.3","31.3","18.8","6.3",".","6.3","6.3",".",".",".",".",".",".",".",".","."
"Legislative Internship","315","002","69","3.948","91.3","4.3",".",".","1.4",".",".",".",".",".",".",".","2.9",".",".","."
"Politics of East & SE Asia","328","001","50","3.622","36.0","50.0","12.0",".",".",".",".",".","2.0",".",".",".",".",".",".","."
"Russian Politics","334","001","62","3.131","12.9","22.6","43.5","16.1","3.2",".",".","1.6",".",".",".",".",".",".",".","."
"Terrorism","347","001","194","3.325","20.6","40.2","23.7","7.7","2.6",".","1.0","2.6",".",".",".",".","1.5",".",".","."
"Prin-International Law","356","001","153","3.293","26.1","32.0","23.5","10.5","6.5","0.7",".",".",".",".",".",".",".",".","0.7","."
"American Foreign Policy","359","001","50","3.533","38.0","30.0","18.0","4.0","2.0",".",".","2.0",".",".",".",".","2.0",".","4.0","."
"Machiavelli and His World","365","001","87","3.692","57.5","27.6","9.2","3.4","1.1",".",".","1.1",".",".",".",".",".",".",".","."
"Study Abroad-Pol Sci:Intnl Rel","390","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","14","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","004","14","2.964","21.4","21.4","35.7",".","7.1","14.3",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","28","3.304","39.3","17.9","32.1",".","3.6","7.1",".",".",".",".",".",".",".",".",".","."
"The American Presidency","408","001","58","3.402","29.3","31.0","17.2","8.6",".",".","1.7","12.1",".",".",".",".",".",".",".","."
"The American Constitution II","412","001","52","3.290","13.5","42.3","30.8","5.8","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"Administrative Law","419","001","49","3.184","28.6","26.5","16.3","14.3","12.2","2.0",".",".",".",".",".",".",".",".",".","."
"Philos, Poli, & Econ Seminar","461","001","23","3.522","56.5","26.1","8.7",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"Women and Politics","469","001","45","3.523","40.0","35.6","8.9","6.7","4.4",".",".",".",".",".",".",".",".","4.4",".","."
"The First Amendment","470","001","48","3.800","58.3","33.3","2.1",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Campaign Finance","511","001","52","3.480","26.9","51.9","17.3",".",".",".","1.9","1.9",".",".",".",".",".",".",".","."
"","682","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis Smr","683","001","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","692","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 302 of 420",""
