"CELL AND REGENERATIVE BIOL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","",""
"615
Regenerative Medicine Ethics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675","001","","39","4.000","97.4",".",".",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"675","003","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","004","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cell and Regenerative Biology","Course Total","","58","3.874","87.9","6.9","3.4",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","25","3.938","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"800
IP, Patents, and Licensing","001","","27","3.796","59.3","40.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Bus of Biotech: Fundamentals","001","","27","3.796","59.3","40.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803
Molecular Technologies I","001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"804
Biotech Reg and Ethics","001","","27","3.352","25.9","25.9","40.7","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"830
Early Drug Discovery","001","","21","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"834
Molecular Technologies III","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"841
Bus of Biotech:Challenges&Apps","001","","21","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
