"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","300
010","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","19","3.605","31.6","57.9","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","20","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
013","20","3.725","55.0","40.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","300
014","21","3.810","61.9","38.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
015","20","3.750","55.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
016","18","3.722","61.1","33.3",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","300
017","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
018","20","3.600","20.0","80.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
019","18","3.765","50.0","44.4",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","300
020","18","3.667","38.9","55.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
021","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
022","20","3.550","35.0","50.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","404","3.698","49.0","43.1","5.4","1.7","0.2",".",".",".",".",".",".",".","0.5",".",".","."
"Business Law","301
001","400","3.000","6.3","26.0","36.5","25.0","6.0",".","0.3",".",".",".",".",".",".",".",".","."
"","302
001","40","3.525","50.0","20.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
302","34","3.353","29.4","26.5","29.4","14.7",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","74","3.446","40.5","23.0","21.6","14.9",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","94","3.109","24.5","16.0","30.9","13.8","10.6","2.1",".",".",".",".",".",".","2.1",".",".","."
"","306
002","98","3.120","24.5","21.4","21.4","14.3","16.3",".",".",".",".",".",".",".","2.0",".",".","."
"","003
306","82","2.944","23.2","14.6","28.0","11.0","15.9","3.7","2.4","1.2",".",".",".",".",".",".",".","."
"","004
306","65","3.180","24.6","18.5","35.4","10.8","7.7","1.5",".",".",".",".",".",".","1.5",".",".","."
"","005
306","102","3.010","19.6","18.6","29.4","16.7","12.7","2.0","1.0",".",".",".",".",".",".",".",".","."
"","306
006","91","3.062","20.9","20.9","25.3","17.6","11.0","1.1","1.1",".",".",".",".",".","2.2",".",".","."
"","007
306","52","3.048","21.2","15.4","32.7","17.3","11.5","1.9",".",".",".",".",".",".",".",".",".","."
"Business Analytics I","Course Total","584","3.065","22.6","18.2","28.4","14.6","12.5","1.7","0.7","0.2",".",".",".",".","1.2",".",".","."
"","001
307","30","3.367","30.0","33.3","23.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","307
002","105","3.329","29.5","33.3","18.1","15.2","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"","003
307","71","3.211","19.7","45.1","16.9","5.6","7.0","5.6",".",".",".",".",".",".",".",".",".","."
"","307
004","69","3.210","24.6","31.9","20.3","15.9","2.9","4.3",".",".",".",".",".",".",".",".",".","."
"","005
307","82","3.348","25.6","37.8","24.4","7.3","3.7","1.2",".",".",".",".",".",".",".",".",".","."
"Business Analytics II","Course Total","357","3.290","25.8","36.4","20.2","10.9","3.9","2.8",".",".",".",".",".",".",".",".",".","."
"Acctg&Finance - Non-Bus Majors","310
010","220","3.131","19.1","27.7","22.7","22.7","5.0","0.5","0.9","1.4",".",".",".",".",".",".",".","."
"","311
001","65","3.408","29.2","32.3","30.8","6.2","1.5",".",".",".",".",".",".",".",".",".",".","."
"","002
311","64","3.333","29.7","29.7","25.0","10.9","1.6",".","1.6","1.6",".",".",".",".",".",".",".","."
"","003
311","62","3.220","27.4","25.8","30.6","3.2","3.2",".","4.8","4.8",".",".",".",".",".",".",".","."
"","004
311","60","3.347","30.0","38.3","13.3","10.0","5.0",".","1.7","1.7",".",".",".",".",".",".",".","."
"Mgmt & Mrktg Non-Bus Majors","Course Total","251","3.329","29.1","31.5","25.1","7.6","2.8",".","2.0","2.0",".",".",".",".",".",".",".","."
"Intercultural Communctn in Bus","320
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Exp Bus-Extended Intrnshp","451
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Machine Learning-BusAnalytics","656
001","39","3.500","41.0","23.1","28.2","2.6","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"","704
020","35","3.871","77.1","20.0","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
021","33","3.758","54.5","42.4","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 49 of 420"
