"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"DANCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"Move Comp-Perform/Visul Art","255","001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance History I","265","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pol&Cult Perspectives in Dance","268","001","107","3.590","63.6","14.0","13.1","3.7","1.9",".","2.8",".",".",".",".",".",".",".",".","0.9"
"","311","001","20","3.868","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Dance Tech & Th V","","Course Total","24","3.868","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325","001","8","3.500","62.5","12.5",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","325","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ballet Technique III","","Course Total","9","3.529","66.7","11.1",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Functional Anat Mvmt Practices","330","001","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamics of Dance Therapy","331","001","18","3.906","72.2","16.7",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Sound Dsgn-Perf/Visual Arts","341","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance Composition II","355","001","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Pilates Teaching I","376","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Project","399","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","451","001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance Repertory Theater","","Course Total","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Seminar","462","001","12","3.833","91.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Dance:Wkshp","560","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","","Course Total","3","***","","","","","","","","","","","","","","","",""
