"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","055","","8","",".",".",".",".",".",".",".","12.5",".",".",".","87.5",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","62","",".",".",".",".",".",".",".","75.8","1.6",".",".","19.4","1.6","1.6",".","."
"999","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","057","","12","3.773","58.3","25.0","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"999","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","31","3.903","83.9","9.7","3.2",".",".",".",".",".",".",".",".",".","3.2",".",".","."
