"Summary by Level","#","","Ave","A","AB","B","BC","","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","12","3.741","83.3","8.3",".","",".","8.3",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","15","4.000","93.3",".",".","",".",".",".","",".",".","",".",".","",".","",".","",".",".","6.7","."
"Senior","","29","3.754","79.3",".","3.4","",".",".","3.4","",".",".","",".",".","",".","",".","",".",".","13.8","."
"Undergraduates","","57","3.822","84.2","1.8","1.8","",".","1.8","1.8","",".",".","",".",".","",".","",".","",".",".","8.8","."
"Special","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","26","2.854","7.7","7.7","3.8","",".","3.8","3.8","",".","73.1","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","3","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","3","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
