"BUS","","","","","","","","","","","","","","","","","","","","",""
"REAL ESTATE & URBAN LAND E Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","","",""
"REAL EST
Dept. Total
239","1093","3.417","33.7","30.4","25.4","6.9","2.9","",".","0.1","0.1","0.1",".","",".","",".","0.5",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","86","3.176","22.1","19.8","38.4","12.8","4.7","",".","1.2",".",".",".","",".","",".","1.2",".",".","."
"Junior","302","3.441","32.1","34.4","25.8","6.0","1.7","",".",".",".",".",".","",".","",".",".",".",".","."
"Senior","561","3.390","33.7","29.2","24.1","8.2","3.9","",".",".",".","0.2",".","",".","",".","0.7",".",".","."
"Undergraduates","949","3.386","32.1","30.0","25.9","7.9","3.3","",".","0.1",".","0.1",".","",".","",".","0.5",".",".","."
"Special","8","3.643","50.0","12.5","25.0",".",".","",".",".","12.5",".",".","",".","",".",".",".",".","."
"Graduate","135","3.606","43.7","33.3","22.2",".","0.7","",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Dept. Total","1093","3.417","33.7","30.4","25.4","6.9","2.9","",".","0.1","0.1","0.1",".","",".","",".","0.5",".",".","."
