"SPANISH (SPANISH AND PORTUGSection","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","226
003","24","3.521","29.2","54.2","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","226
004","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
226","19","3.684","52.6","42.1",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","226
006","18","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
007","19","3.421","47.4","26.3","15.8","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","226
008","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
009","19","3.658","36.8","57.9","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
010","18","3.694","44.4","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
011","20","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
226","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
013","23","3.543","43.5","26.1","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
014","14","3.286","42.9","28.6","7.1","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"","226
015","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
016","19","3.694","47.4","36.8","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","226
017","20","3.675","75.0","15.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","226
018","20","3.375","35.0","45.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","019
226","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
020","20","3.400","20.0","50.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","226
021","18","3.528","38.9","27.8","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","022
226","18","3.694","61.1","16.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
023","20","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","440","3.626","48.9","35.7","12.0","1.6","0.7",".","0.7","0.2",".",".",".",".",".",".",".","."
"","001
311","24","3.417","29.2","37.5","25.0","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","311
004","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
005","22","3.727","59.1","27.3","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
311","22","3.545","40.9","31.8","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","007
311","22","3.705","59.1","22.7","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
008","21","3.690","61.9","19.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","311
009","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
011","23","3.870","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","176","3.713","60.8","23.9","13.1","1.7","0.6",".",".",".",".",".",".",".",".",".",".","."
"","319
001","21","3.571","76.2","4.8","4.8","4.8","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","319
002","21","3.833","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","Course Total","42","3.702","73.8","14.3","4.8","2.4","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"","320
001","23","3.364","21.7","26.1","47.8",".",".",".",".",".",".",".",".",".",".","4.3",".","."
"","320
002","25","3.520","60.0","8.0","20.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".","."
"","320
003","22","3.477","50.0","18.2","18.2","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","70","3.457","44.3","17.1","28.6","4.3","2.9","1.4",".",".",".",".",".",".",".","1.4",".","."
"Survey of Early Hispanic Lit","322
001","23","3.587","43.5","34.8","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","324
001","22","3.238","27.3","40.9","13.6","4.5",".","4.5","4.5",".",".",".",".",".","4.5",".",".","."
"","325
001","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","47","3.968","95.7","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","001
326","24","3.771","70.8","16.7","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
